aX,aY,aZ,gX,gY,gZ
-0.036,0.088,0.994,5.554,-3.723,6.958
-0.038,0.091,1.007,8.118,-5.920,5.859
-0.033,0.084,1.039,8.606,-7.935,5.188
-0.028,0.069,1.061,7.385,-16.663,4.150
-0.002,0.030,1.140,6.470,-23.315,4.089
0.013,0.013,1.193,4.578,-36.499,6.897
0.023,-0.021,1.276,2.991,-41.321,9.827
0.001,-0.068,1.320,-0.549,-46.082,17.883
-0.019,-0.096,1.326,-2.014,-46.143,22.400
-0.070,-0.126,1.313,-6.042,-44.861,29.541
-0.097,-0.131,1.287,-13.916,-42.847,30.884
-0.146,-0.142,1.169,-20.752,-41.626,29.114
-0.169,-0.152,1.076,-43.640,-43.030,19.104
-0.185,-0.214,0.825,-59.448,-46.326,9.827
-0.134,-0.388,0.485,-93.933,-48.340,-10.803
-0.074,-0.448,0.231,-111.328,-10.681,-13.000
-0.013,-0.301,-0.662,-108.337,32.227,-5.554
-0.005,-0.070,-1.332,-99.060,104.797,0.244
0.156,0.431,-2.765,-90.637,107.971,-7.263
0.274,0.468,-3.219,1.282,72.754,-17.883
0.147,0.634,-3.089,107.178,72.510,-6.836
-0.744,1.386,-2.516,331.177,167.358,-0.549
-1.216,1.467,-2.418,336.182,223.816,-110.413
-1.474,0.292,-1.861,230.469,155.151,-175.903
-1.478,-0.456,-1.078,-80.139,-94.177,-167.725
-1.353,-2.078,1.083,-218.384,-172.546,-109.375
-0.750,-2.664,2.749,-192.078,-53.955,-5.676
1.480,-2.274,4.000,-9.949,94.604,-49.988
2.394,-2.284,4.000,69.397,-32.532,-51.086
1.815,-1.002,3.951,-2.991,-220.276,105.225
-0.076,0.147,0.994,11.597,-2.502,-3.235
-0.082,0.136,0.991,12.085,-1.282,-2.747
-0.083,0.134,0.984,14.587,-0.732,-2.502
-0.077,0.133,0.991,16.235,-1.282,-2.563
-0.074,0.133,1.007,16.785,-1.160,-1.221
-0.072,0.134,1.034,14.771,0.061,0.183
-0.077,0.136,1.026,9.277,3.418,1.831
-0.083,0.138,0.997,7.568,3.479,1.343
-0.083,0.139,0.994,6.836,0.122,-1.099
-0.076,0.140,1.010,7.019,-1.160,-2.197
-0.076,0.135,1.010,6.714,-0.916,-2.869
-0.074,0.131,1.005,5.127,-0.977,-1.831
-0.070,0.128,1.007,4.456,-1.160,-0.793
-0.070,0.128,1.003,5.615,-0.488,0.000
-0.073,0.128,0.991,7.324,-1.038,-0.061
-0.072,0.125,0.998,11.047,-5.920,-0.977
-0.054,0.117,1.056,10.925,-8.911,-1.038
-0.055,0.115,1.077,5.249,-11.108,0.244
-0.063,0.112,1.060,0.366,-13.062,0.793
-0.080,0.103,1.043,0.183,-17.639,0.610
-0.080,0.099,1.064,4.089,-30.090,0.549
-0.083,0.073,1.120,6.775,-33.691,1.526
-0.091,0.056,1.133,12.573,-31.372,6.165
-0.130,0.030,1.097,15.686,-27.893,7.874
-0.148,0.014,1.052,18.250,-27.100,3.418
-0.150,-0.046,0.938,16.235,-33.691,-3.418
-0.131,-0.095,0.886,4.395,-62.805,-23.682
-0.032,-0.242,0.810,-1.648,-79.468,-32.654
0.054,-0.329,0.768,-6.653,-84.229,-26.917
0.272,-0.408,0.526,-6.348,-59.387,-8.057
-0.018,0.071,1.005,3.845,-2.991,0.183
-0.021,0.067,1.016,3.357,-2.502,0.732
-0.024,0.067,1.018,1.648,-1.160,1.648
-0.027,0.067,1.011,0.610,-0.610,1.831
-0.028,0.068,1.005,-1.038,-0.610,2.197
-0.030,0.069,0.998,-1.282,-0.671,2.197
-0.032,0.068,0.995,-0.061,-0.671,1.892
-0.037,0.066,0.994,1.404,-0.977,1.526
-0.039,0.066,1.001,4.395,-1.404,1.221
-0.038,0.074,1.014,5.188,-0.916,1.526
-0.040,0.079,1.005,4.456,0.854,2.014
-0.042,0.079,0.997,3.174,0.854,2.014
-0.043,0.072,0.986,1.648,-1.099,1.038
-0.041,0.067,0.989,3.357,-3.723,-0.244
-0.032,0.061,1.004,4.578,-4.028,-0.488
-0.029,0.058,1.009,5.554,-2.686,-0.122
-0.026,0.054,1.014,4.883,-2.075,0.183
-0.026,0.052,1.015,1.526,-2.014,0.854
-0.033,0.045,1.010,0.183,-2.319,0.916
-0.035,0.041,1.012,0.549,-3.662,0.183
-0.031,0.038,1.027,1.343,-4.150,0.122
-0.033,0.041,1.032,2.563,-2.502,1.343
-0.042,0.050,1.026,2.625,-1.038,1.892
-0.047,0.052,1.020,1.404,-0.977,1.648
-0.048,0.047,1.025,0.671,-2.197,1.221
-0.048,0.045,1.030,-0.366,-4.089,1.282
-0.048,0.050,1.025,-0.366,-4.089,1.343
-0.049,0.052,1.020,1.099,-4.211,0.610
-0.053,0.057,1.027,2.319,-4.944,-0.061
-0.052,0.059,1.036,5.493,-7.690,-1.892
-0.079,0.077,1.027,15.259,-0.549,1.770
-0.085,0.078,1.064,17.517,-2.869,0.977
-0.100,0.084,1.144,17.822,-1.892,1.892
-0.119,0.091,1.199,16.418,2.930,4.883
-0.121,0.098,1.217,15.137,5.249,5.432
-0.095,0.106,1.242,12.024,5.798,0.549
-0.073,0.102,1.251,9.399,4.211,-2.563
-0.031,0.090,1.249,1.282,0.366,-5.249
-0.013,0.081,1.240,-3.174,-3.540,-6.104
0.024,0.062,1.238,-4.272,-7.019,-5.798
0.036,0.047,1.236,-7.446,-15.930,-3.723
0.048,0.001,1.210,-8.728,-19.104,-2.502
0.051,-0.024,1.190,-9.338,-22.766,1.709
0.047,-0.062,1.139,-8.606,-24.170,4.578
0.026,-0.095,1.075,-5.981,-25.818,7.751
0.014,-0.118,1.026,-8.301,-24.597,3.723
0.021,-0.226,0.825,-15.869,-25.757,-3.601
0.054,-0.363,0.664,-51.575,-38.208,-24.780
0.165,-0.656,0.237,-74.646,-40.161,-28.198
0.190,-0.674,-0.040,-98.145,7.263,3.906
0.086,-0.330,-0.941,-95.642,60.791,35.339
-0.083,0.001,-1.644,-79.346,194.336,101.013
-0.668,0.804,-3.261,-47.302,242.493,115.906
-0.842,1.166,-3.808,120.178,217.224,36.194
-0.716,1.406,-3.820,219.971,161.926,-33.630
-0.667,1.191,-3.432,381.958,102.417,-132.935
-0.848,0.392,-2.471,441.162,118.835,-157.654
-1.115,-0.465,-1.109,428.894,134.521,-187.866
-1.207,-0.904,-0.281,328.552,74.402,-204.529
