aX,aY,aZ,gX,gY,gZ
-0.257,-1.604,0.75,4.089,23.743,11.353
-0.316,-1.602,0.621,-9.399,32.471,13.306
-0.242,-1.444,0.423,-30.396,9.521,20.813
-0.207,-1.254,0.466,-59.326,-34.79,54.077
-0.283,-0.708,0.66,-54.443,-28.748,74.402
-0.307,-0.395,0.671,-7.446,5.676,98.083
-0.241,0.12,0.738,16.418,6.165,94.238
-0.136,0.253,0.875,25.269,-10.315,70.19
0.064,0.416,1.108,19.104,-13.123,65.186
0.032,0.523,1.153,11.353,-9.033,81.055
-0.157,0.722,1.112,15.991,-4.456,84.045
-0.199,0.782,1.135,25.146,-4.517,78.613
-0.211,0.913,1.353,52.185,-11.23,62.378
-0.182,0.962,1.443,71.533,-3.418,53.284
-0.163,0.973,1.496,95.459,25.818,41.016
-0.215,1,1.549,81.848,34.119,44.739
-0.198,1.022,1.537,36.926,25.513,17.151
-0.224,0.797,1.383,34.729,23.193,-20.813
-0.164,0.655,1.28,31.372,24.17,-41.87
0.017,0.435,1.302,22.278,17.944,-35.645
0.097,0.344,1.345,6.714,12.512,-29.724
0.141,0.269,1.321,-45.776,1.221,-22.827
0.12,0.156,1.135,-68.054,-7.08,-22.644
0.109,0.108,1.037,-69.58,-13.245,-24.292
0.186,0.038,0.942,-58.105,-12.329,-20.325
0.217,0.016,0.943,-44.617,-16.724,-8.423
0.207,-0.011,0.954,-43.335,-17.761,-2.991
0.186,-0.012,0.942,-38.94,-5.554,12.695
0.113,0.019,0.896,-32.532,3.601,21.057
0.061,0.05,0.861,-16.602,13.428,33.142
-0.353,1.156,1.383,45.288,11.597,67.81
-0.377,1.268,1.424,83.862,44.373,67.322
-0.396,1.398,1.488,82.581,50.171,61.401
-0.382,1.411,1.493,24.719,44.556,39.001
-0.36,1.32,1.367,-3.54,43.274,21.24
-0.33,1.177,1.241,-19.836,42.786,-31.738
-0.105,0.673,1.003,-18.921,35.583,-57.007
0.042,0.403,0.953,-18.127,13.733,-76.294
0.274,0.074,0.928,-19.836,8.057,-69.092
0.321,0.031,0.925,-21.973,5.554,-54.993
0.318,0.044,0.927,-22.583,7.019,-19.409
0.21,0.129,0.967,-18.921,8.85,-6.165
0.133,0.167,0.988,-10.986,9.277,5.005
0.02,0.195,1.005,-11.841,5.92,7.812
-0.007,0.173,1.027,-15.93,-4.211,8.972
-0.014,0.112,1.093,-14.832,-7.263,6.47
-0.003,0.083,1.133,-13.306,-6.348,-1.099
0.032,0.023,1.167,-17.151,-2.747,-1.953
0.047,0.001,1.151,-22.156,2.197,-0.549
0.056,-0.006,1.112,-29.236,14.587,7.69
0.043,0.042,1.002,-30.029,18.005,11.353
0.031,0.079,0.958,-24.78,13,11.292
0.02,0.118,0.932,-19.287,7.996,8.911
0.023,0.114,0.946,-8.057,2.502,4.333
0.041,0.088,0.978,-5.31,1.099,3.113
0.051,0.073,0.988,-4.761,0.549,3.235
0.054,0.063,0.986,-5.249,2.136,6.775
0.037,0.087,0.953,-3.662,1.526,7.812
0.036,0.106,0.96,1.16,-3.967,5.859
0.021,0.139,1.015,2.441,-5.188,5.066
0.048,-2.007,1.581,48.096,-23.621,-17.029
0.063,-2.462,1.508,17.273,-7.629,-22.034
-0.097,-2.658,0.988,-18.005,2.991,-4.211
-0.219,-2.438,0.66,-102.661,20.264,43.091
-0.446,-1.7,0.155,-125.488,20.996,61.89
-0.538,-1.256,0.149,-130.798,-2.625,93.262
-0.546,-0.326,0.439,-135.437,-14.465,102.661
-0.472,0.148,0.508,-140.808,-15.503,107.605
-0.411,0.589,0.485,-107.178,26.184,117.92
-0.417,1.103,0.421,-65.918,55.176,120.483
-0.392,1.203,0.491,8.24,63.599,88.989
-0.16,1.253,0.758,24.475,44.434,62.012
0.006,1.263,0.881,33.264,10.254,33.875
0.096,1.337,1.085,41.321,7.629,41.87
0.005,1.386,1.142,73.914,28.503,70.129
-0.226,1.535,1.268,83.435,36.56,72.632
-0.294,1.585,1.327,76.721,35.461,59.692
-0.307,1.553,1.324,20.813,15.991,4.7
-0.209,1.24,1.145,-1.831,8.667,-20.874
-0.114,0.989,1.081,2.625,10.254,-48.462
0.135,0.478,1.071,10.864,12.817,-52.612
0.244,0.278,1.073,2.075,1.587,-49.927
0.32,0.065,1.087,-5.859,-6.042,-41.87
0.308,0.04,1.085,-7.385,-7.812,-17.273
0.245,0.076,1.055,-5.249,-5.249,-4.333
0.196,0.11,1.034,-3.723,-1.953,7.629
0.137,0.155,1.02,-2.136,5.31,22.217
0.039,0.253,1.004,-3.784,6.775,22.095
0.014,0.274,0.997,-12.329,4.15,14.221
0.001,0.249,0.951,-14.893,3.723,10.498
0.187,-1.714,1.196,49.5,-55.847,5.615
0.184,-1.979,1.292,33.63,-46.448,43.579
-0.032,-2.06,1.086,-1.465,-21.057,68.42
-0.2,-1.917,0.737,-80.383,1.099,88.318
-0.418,-1.422,0.24,-102.6,-17.334,79.956
-0.447,-1.198,0.267,-94.116,-59.021,58.655
-0.422,-0.757,0.646,-76.782,-52.856,55.786
-0.359,-0.479,0.742,-65.063,-14.587,76.477
-0.301,0.157,0.732,-64.392,-2.197,96.313
-0.301,0.349,0.705,-57.556,6.958,109.009
-0.28,0.434,0.716,-26.978,7.812,100.342
-0.159,0.539,0.871,-15.808,2.625,86.243
-0.101,0.625,0.924,-5.859,5.066,59.265
-0.069,0.76,1.052,0.244,7.69,51.941
-0.083,0.803,1.162,13.123,9.644,50.232
-0.115,0.872,1.287,18.372,14.404,54.504
-0.148,0.937,1.28,23.132,21.79,60.669
-0.184,1.033,1.247,26.978,33.386,66.406
-0.25,1.225,1.175,23.132,35.278,63.232
-0.286,1.292,1.138,10.986,40.405,50.293
-0.349,1.302,1.057,9.033,42.603,38.147
-0.33,1.204,1.024,4.761,33.936,-0.549
-0.213,0.792,0.988,-0.061,24.719,-23.804
-0.124,0.538,0.985,-4.578,14.954,-44.617
0.069,0.129,1.044,-3.845,0.427,-62.5
0.151,0.009,1.09,1.648,-0.977,-57.983
0.215,-0.056,1.122,5.188,4.15,-34.302
0.226,-0.072,1.108,0.793,7.202,-19.897
0.174,-0.038,1.083,-9.705,11.23,0.732
0.088,0.05,1.03,-13.672,10.986,4.822
0.288,-1.411,1.071,22.217,10.498,24.048
0.279,-1.644,1.015,27.527,6.592,48.889
0.159,-1.98,0.947,16.541,-5.432,53.65
0.112,-2.005,0.851,-35.645,-22.461,57.556
0.063,-1.765,0.475,-57.495,-33.569,70.374
