aX,aY,aZ,gX,gY,gZ
-0.394,-0.742,2.291,205.811,7.751,-54.749
-0.085,-0.827,2.375,200.867,43.274,-68.604
0.409,-0.961,2.223,200.684,68.848,-55.359
0.477,-0.964,2.111,135.01,27.954,-26.428
0.315,-0.816,2.072,88.318,-16.968,-14.526
0.161,-0.699,2.051,46.753,-38.879,8.118
-0.043,-0.518,1.825,51.514,-28.748,11.414
-0.029,-0.477,1.797,64.514,-36.56,-2.258
0.115,-0.518,1.937,63.171,-40.71,-7.996
0.146,-0.528,1.968,45.776,-30.273,1.465
0.137,-0.505,1.877,32.41,-31.189,8.789
0.124,-0.492,1.845,4.639,-45.41,19.592
0.06,-0.412,1.673,-3.113,-42.908,22.766
0.031,-0.352,1.537,4.761,-27.405,24.414
-0.023,-0.261,1.441,8.606,-24.597,25.391
-0.055,-0.239,1.441,-3.845,-23.621,23.01
-0.088,-0.227,1.389,-13.184,-21.057,18.677
-0.088,-0.23,1.332,-22.339,-11.658,8.362
-0.054,-0.24,1.169,-19.287,-6.653,3.296
-0.025,-0.25,1.1,-2.441,5.31,-2.808
0.006,-0.264,1.005,4.761,10.925,-1.343
0.012,-0.269,0.977,5.188,7.568,2.747
0.011,-0.285,0.957,-0.61,-0.061,3.662
-0.001,-0.284,0.958,-10.925,-9.705,4.272
-0.021,-0.288,0.952,-11.536,-7.507,3.662
-0.021,-0.287,0.933,-2.075,3.723,0.488
0,-0.287,0.919,4.456,7.202,-1.77
0.013,-0.295,0.932,7.202,7.08,-5.188
0.023,-0.32,0.967,2.991,6.042,-5.31
0.019,-0.328,0.98,-6.165,7.385,-2.502
-0.025,-0.825,2.18,235.413,85.144,-41.565
0.324,-1.018,2.347,184.387,39.673,-74.28
0.717,-1.091,2.62,142.395,7.141,-65.796
0.689,-0.967,2.66,86.853,14.771,-15.442
0.446,-0.624,2.337,67.627,35.461,4.456
0.357,-0.494,2.073,43.701,36.377,8.85
0.336,-0.395,1.689,41.138,13.733,1.099
0.352,-0.414,1.69,43.213,-38.208,-10.193
0.337,-0.44,1.778,37.109,-45.227,-7.568
0.292,-0.409,1.731,7.69,-25.757,10.071
0.181,-0.301,1.496,-5.798,-15.93,15.015
0.156,-0.234,1.362,-6.653,-11.719,7.935
0.181,-0.165,1.187,3.174,-11.047,1.16
0.197,-0.185,1.149,20.081,-6.348,-5.432
0.206,-0.269,1.137,22.827,-6.348,-6.165
0.215,-0.318,1.157,14.893,-9.644,-4.517
0.207,-0.344,1.14,5.92,-7.202,-0.732
0.182,-0.32,1.063,-2.319,4.7,4.089
0.152,-0.279,0.895,1.77,7.69,3.418
0.146,-0.281,0.871,14.526,0.366,0.793
0.141,-0.315,0.935,18.921,-3.967,-0.061
0.143,-0.335,0.973,18.494,-3.662,1.221
0.144,-0.341,1.016,14.587,-2.38,3.479
0.131,-0.318,1.021,4.517,-0.854,6.47
0.094,-0.264,0.991,1.709,0.183,5.249
0.089,-0.257,0.98,2.869,1.953,2.625
0.092,-0.267,1.005,10.62,4.944,-1.526
0.094,-0.276,1.033,11.536,4.761,-2.747
0.1,-0.289,1.057,7.935,6.897,-3.601
0.115,-0.297,1.053,4.822,8.362,-2.625
0.424,-0.8,1.469,190.063,128.357,-11.292
0.46,-0.969,1.497,143.372,60.669,-39.978
0.61,-1.128,1.823,125.977,22.156,-48.706
0.64,-1.074,1.951,128.662,25.757,-21.729
0.552,-0.881,1.919,127.319,42.236,-4.639
0.519,-0.851,1.872,92.163,27.588,1.221
0.463,-0.82,1.839,72.449,8.118,-1.526
0.391,-0.751,1.804,49.744,-25.208,-5.249
0.198,-0.544,1.794,43.701,-41.565,-7.874
0.11,-0.448,1.804,38.33,-40.405,-12.39
0.045,-0.387,1.674,41.077,-18.677,-12.695
0.081,-0.433,1.579,41.992,1.587,-16.174
0.239,-0.557,1.527,33.569,-8.789,-18.494
0.278,-0.555,1.48,8.423,-17.7,-10.254
0.255,-0.459,1.232,5.188,-10.376,-2.747
0.23,-0.416,1.134,17.273,0.244,7.507
0.178,-0.386,1.084,22.583,-1.465,8.972
0.161,-0.397,1.096,18.982,-13.306,5.92
0.165,-0.439,1.122,12.39,-17.883,3.845
0.168,-0.434,1.115,5.31,-11.963,3.723
0.144,-0.369,1.021,6.47,-5.92,4.089
0.128,-0.34,0.971,13.977,-5.859,0.488
0.105,-0.331,0.981,20.02,-8.484,-3.418
0.112,-0.354,1.016,26.367,-5.798,-10.376
0.149,-0.407,1.063,22.156,-3.174,-10.742
0.159,-0.419,1.053,5.249,1.282,-5.859
0.15,-0.4,1.001,0.061,3.723,-3.54
0.145,-0.386,0.976,-0.061,7.507,-2.441
0.154,-0.384,0.941,6.592,13.123,-3.235
0.164,-0.398,0.948,8.118,11.23,-4.578
