aX,aY,aZ,gX,gY,gZ
-0.025,0.055,0.998,-2.197,-5.493,0.977
-0.030,0.060,0.995,-2.502,-6.531,1.526
-0.037,0.064,0.998,-4.150,-9.705,0.610
-0.041,0.064,0.999,-4.578,-11.047,0.061
-0.049,0.065,0.995,-4.578,-12.634,-0.549
-0.049,0.060,0.995,-4.028,-13.794,-1.160
-0.044,0.050,1.006,-1.221,-14.648,-1.343
-0.043,0.046,1.013,1.709,-11.108,2.075
-0.051,0.048,1.019,2.502,-8.667,4.456
-0.058,0.050,1.016,2.930,-6.836,6.042
-0.066,0.049,1.013,1.953,-7.202,5.371
-0.065,0.047,1.017,0.366,-9.094,4.272
-0.065,0.047,1.020,-1.709,-10.681,4.028
-0.066,0.051,1.018,-1.160,-9.338,4.578
-0.067,0.055,1.013,1.038,-5.737,5.981
-0.068,0.056,0.998,1.953,-4.578,6.409
-0.064,0.055,0.986,4.700,-4.272,6.775
-0.064,0.059,0.987,6.165,-5.005,7.080
-0.063,0.062,0.989,6.226,-7.324,7.324
-0.068,0.061,0.998,5.127,-8.301,7.141
-0.073,0.060,1.003,4.883,-6.714,7.263
-0.088,0.061,1.018,6.409,-3.784,8.057
-0.101,0.064,1.031,10.437,4.822,10.376
-0.127,0.053,1.060,12.817,10.559,10.437
-0.128,0.038,1.081,20.325,25.024,9.766
-0.097,-0.008,1.161,25.574,36.804,11.475
-0.064,-0.048,1.215,35.156,77.148,32.104
-0.033,-0.106,1.317,37.720,104.126,49.744
-0.017,-0.135,1.369,36.926,164.307,84.473
0.006,-0.136,1.514,32.959,199.707,102.844
0.003,0.089,0.982,0.244,0.122,5.127
0.004,0.086,0.983,2.991,-1.526,3.174
0.001,0.076,0.988,5.127,-0.854,2.563
0.001,0.075,0.991,6.592,-0.488,0.793
-0.001,0.092,1.002,4.883,-1.465,-0.916
0.001,0.094,1.002,0.244,-4.028,-5.310
0.012,0.070,0.995,-0.610,-5.066,-6.226
0.014,0.054,0.997,1.709,-5.676,-2.625
0.008,0.050,1.012,2.869,-4.944,0.061
0.003,0.057,1.013,1.831,-3.967,2.197
-0.001,0.069,1.006,0.854,-4.395,1.770
-0.002,0.071,1.002,1.831,-3.662,0.916
-0.010,0.078,1.012,2.747,-2.502,1.038
-0.019,0.082,1.021,2.686,0.732,0.305
-0.042,0.089,1.043,2.319,2.869,-1.099
-0.052,0.090,1.068,4.150,12.634,-2.991
-0.073,0.084,1.192,7.507,25.635,-1.709
