aX,aY,aZ,gX,gY,gZ
0.126,-0.057,1.008,-4.944,0.977,4.272
0.125,-0.053,1.001,-4.944,2.625,5.432
0.125,-0.049,0.995,-4.700,2.991,5.554
0.126,-0.047,0.992,-3.906,2.136,5.066
0.131,-0.045,0.993,-3.479,1.709,4.822
0.133,-0.042,0.993,-3.479,2.075,5.005
0.134,-0.042,0.993,-3.357,2.258,5.249
0.134,-0.041,0.990,-2.014,1.770,4.639
0.135,-0.039,0.991,-0.732,1.587,4.272
0.135,-0.038,1.002,1.770,2.747,4.883
0.132,-0.033,1.001,1.831,4.211,5.493
0.125,-0.016,0.990,1.770,4.211,5.371
0.122,-0.007,0.987,2.869,4.395,4.822
0.113,0.006,0.990,3.723,5.066,4.456
0.112,0.011,0.993,5.371,5.859,3.113
0.116,0.031,1.000,5.676,5.554,2.563
0.120,0.042,1.006,5.676,5.188,1.953
0.144,0.069,1.030,6.775,5.859,2.197
0.161,0.090,1.055,11.841,11.047,5.005
0.212,0.154,1.107,14.465,15.625,7.019
0.250,0.198,1.131,16.357,19.043,11.536
0.338,0.311,1.212,13.123,13.733,15.198
0.356,0.386,1.272,-2.441,-5.615,28.992
0.301,0.579,1.387,-12.756,-13.672,37.354
0.254,0.701,1.423,-33.508,-20.325,52.490
0.142,0.987,1.451,-43.213,-21.362,58.716
0.040,1.222,1.437,-59.204,-23.621,65.674
-0.005,1.317,1.412,-76.416,-30.090,61.890
-0.056,1.443,1.310,-85.937,-36.377,55.847
-0.073,1.437,1.241,-98.267,-43.823,44.250
0.291,-0.072,0.965,7.019,1.648,1.160
0.306,-0.047,0.978,12.390,3.296,3.601
0.337,-0.004,1.010,13.855,3.540,6.226
0.351,0.020,1.031,13.367,-1.892,15.320
0.380,0.098,1.100,12.268,-6.409,21.179
0.403,0.155,1.154,10.925,-17.212,31.433
0.464,0.246,1.298,7.507,-24.780,34.119
0.496,0.274,1.360,-12.451,-43.274,38.940
0.509,0.379,1.425,-26.611,-49.927,46.265
0.416,0.602,1.420,-56.885,-50.781,72.266
0.367,0.739,1.385,-88.806,-46.997,91.003
0.316,0.955,1.277,-100.708,-46.509,92.102
0.297,1.027,1.223,-110.718,-45.288,87.769
0.254,1.170,1.124,-111.816,-43.762,85.388
0.226,1.246,1.081,-122.253,-47.119,78.979
0.107,1.270,0.991,-132.019,-50.110,75.256
0.024,1.177,0.930,-140.259,-35.461,69.885
-0.195,0.850,0.688,-134.155,-19.653,71.045
-0.407,0.413,0.384,-108.093,-9.277,65.857
-0.487,0.089,0.329,-77.515,-44.861,27.954
-0.561,-0.787,0.536,-48.401,-50.171,2.075
-0.555,-1.230,0.763,72.021,42.236,-63.904
-0.269,-1.979,1.009,129.456,110.840,-112.671
0.061,-2.238,0.985,135.071,41.443,-192.261
0.576,-2.214,1.483,106.018,-99.426,-184.753
0.634,-1.843,2.003,62.012,-216.370,-102.966
0.682,-1.058,2.372,33.936,-136.902,-71.960
0.727,-0.777,1.568,-38.818,57.495,-32.959
0.583,-0.710,1.025,-68.970,100.342,1.282
-0.011,-0.439,0.245,-96.008,54.260,83.069
0.264,-0.133,0.989,-1.099,-0.793,-0.305
0.255,-0.119,0.969,-2.319,0.061,0.183
0.254,-0.111,0.963,-3.113,-1.648,-1.709
0.256,-0.119,0.963,-2.075,-2.319,-3.357
0.254,-0.120,0.969,-1.648,-1.526,-2.869
0.253,-0.119,0.968,-0.793,0.488,-2.319
0.249,-0.117,0.961,-0.977,0.610,-2.258
0.248,-0.117,0.959,-2.014,-1.465,-2.991
0.246,-0.112,0.957,-2.380,-2.991,-3.723
0.242,-0.109,0.964,-2.930,-6.775,-5.798
0.241,-0.110,0.970,-3.845,-10.620,-8.301
0.244,-0.114,0.980,-3.906,-10.864,-8.789
0.244,-0.113,0.983,-3.235,-7.874,-7.935
0.243,-0.115,0.985,-3.235,-7.019,-7.996
0.244,-0.118,0.993,-4.761,-8.789,-9.460
0.240,-0.118,0.994,-6.226,-8.972,-9.766
0.231,-0.116,0.988,-6.226,-7.935,-9.338
0.227,-0.113,0.983,-6.287,-7.385,-8.789
0.221,-0.101,0.978,-6.592,-8.240,-8.728
0.211,-0.093,0.969,-7.263,-9.827,-8.850
0.210,-0.095,0.965,-5.310,-8.423,-8.911
0.217,-0.101,0.966,-3.357,-7.324,-8.606
0.222,-0.106,0.971,0.366,-5.310,-7.751
0.230,-0.117,0.981,1.343,-4.639,-6.958
0.232,-0.118,0.983,0.671,-4.883,-5.310
0.233,-0.118,0.980,-0.488,-5.615,-4.700
0.231,-0.119,0.980,-1.648,-7.507,-3.601
0.224,-0.120,0.990,-1.160,-7.202,-2.563
0.210,-0.119,0.993,1.526,-2.319,0.366
0.204,-0.116,0.991,3.296,0.916,2.319
0.108,-0.062,0.992,1.831,2.441,-0.366
0.115,-0.067,1.000,-0.122,-2.563,-2.625
0.123,-0.075,1.009,-0.977,-3.052,-2.808
0.126,-0.074,1.008,-0.732,-1.343,-2.258
0.132,-0.069,1.013,-0.916,-0.610,-1.831
0.142,-0.071,1.020,-3.723,-1.038,-1.160
0.144,-0.071,1.024,-5.066,-1.282,-0.854
0.143,-0.069,1.014,-7.202,0.244,0.183
0.141,-0.066,1.005,-8.972,0.427,1.282
0.131,-0.053,0.992,-8.667,0.549,1.709
0.125,-0.048,0.987,-6.348,2.747,2.136
0.119,-0.040,0.974,-5.615,3.479,2.075
0.116,-0.038,0.966,-5.371,0.000,0.732
0.112,-0.039,0.975,-4.150,-1.770,-0.122
0.113,-0.042,0.987,0.183,-1.404,-1.526
0.121,-0.049,1.008,1.892,-0.671,-2.014
0.127,-0.054,1.012,3.113,0.305,-2.075
0.139,-0.062,1.022,2.808,0.793,-1.404
0.137,-0.059,1.024,0.854,2.014,0.427
0.134,-0.056,1.019,-0.854,1.831,0.916
0.126,-0.050,1.005,-3.296,0.854,1.282
