aX,aY,aZ,gX,gY,gZ
0.052,0.019,1.002,1.892,1.831,-4.028
0.056,0.010,1.004,-2.747,2.136,-2.991
0.056,0.000,1.006,-4.517,3.174,-1.160
0.051,0.000,1.001,-6.836,5.249,2.869
0.038,0.004,0.993,-7.507,4.578,4.150
0.032,0.005,0.998,-8.728,2.075,4.456
0.012,0.013,1.006,-9.583,2.808,3.235
0.000,0.012,1.001,-10.864,5.615,-2.136
-0.008,-0.003,0.995,-10.742,5.188,-4.089
-0.022,-0.009,1.007,-8.423,3.174,-1.160
-0.036,-0.008,1.017,-2.808,7.751,6.287
-0.077,-0.007,1.036,-0.549,11.719,9.888
-0.107,-0.003,1.039,-1.221,15.564,13.184
-0.158,-0.008,1.041,-3.479,14.282,12.085
-0.177,-0.021,1.039,-6.409,10.254,9.521
-0.213,-0.039,1.041,-5.005,10.376,9.949
-0.270,-0.036,1.059,4.395,16.785,11.780
-0.307,-0.029,1.052,8.850,20.691,12.085
-0.389,-0.010,1.051,6.409,16.052,9.521
-0.419,-0.013,1.062,2.014,11.353,5.188
-0.454,-0.038,1.112,-2.502,5.188,-4.700
-0.481,-0.057,1.134,-8.179,4.272,-7.141
-0.564,-0.072,1.121,-11.292,4.333,-6.836
-0.597,-0.059,1.102,-13.428,-0.916,-12.817
-0.612,-0.046,1.110,-13.550,-5.310,-19.226
-0.599,-0.066,1.118,-18.616,-9.949,-27.527
-0.551,-0.112,1.094,-20.630,-10.376,-27.283
-0.499,-0.121,1.073,-16.846,-7.446,-25.269
-0.473,-0.110,1.073,-14.771,-5.005,-27.466
-0.337,-0.142,1.089,-26.306,-13.916,-40.955
0.093,-0.019,0.992,-2.930,-3.906,-1.038
0.091,-0.022,1.003,-0.122,-4.456,0.122
0.084,-0.018,1.019,0.000,-3.845,0.549
0.081,-0.017,1.021,-3.113,-4.700,-0.183
0.083,-0.019,1.019,-4.272,-5.066,-0.549
0.084,-0.018,1.001,-2.808,-2.502,0.793
0.080,-0.014,0.999,0.000,-1.953,3.235
0.068,-0.005,1.010,0.305,-2.563,3.906
0.066,-0.003,1.015,-0.610,-3.235,3.052
0.067,-0.002,1.016,-2.197,-3.296,2.136
0.065,-0.003,1.013,-6.165,-3.601,0.366
0.058,-0.002,1.007,-7.263,-3.113,-0.183
