aX,aY,aZ,gX,gY,gZ
0.100,-0.172,1.008,5.188,-3.113,-2.136
0.099,-0.181,1.027,5.371,-3.479,-1.831
0.094,-0.176,1.013,4.089,-2.319,-1.099
0.087,-0.165,0.994,4.761,-0.977,-0.061
0.088,-0.168,1.014,10.010,-1.465,-0.671
0.098,-0.187,1.067,11.230,-1.099,-0.854
0.104,-0.193,1.086,10.620,0.793,-0.977
0.115,-0.204,1.121,10.620,2.380,-1.099
0.121,-0.208,1.137,9.644,4.456,-1.038
0.137,-0.224,1.174,9.033,3.723,-0.977
0.145,-0.234,1.208,13.489,3.418,-0.916
0.169,-0.276,1.323,18.982,6.470,-0.427
0.193,-0.295,1.411,34.973,18.127,1.770
0.273,-0.340,1.710,46.204,26.550,2.197
0.371,-0.401,2.029,65.125,45.593,2.625
0.397,-0.402,2.086,59.631,45.593,10.864
0.370,-0.308,2.085,55.115,32.471,17.700
0.305,-0.238,2.099,61.401,5.310,26.245
0.171,-0.184,2.141,69.641,-0.183,23.621
0.144,-0.219,2.166,79.468,-2.014,10.437
0.109,-0.338,2.231,73.547,2.380,5.310
0.104,-0.395,2.185,54.932,28.809,2.258
0.132,-0.508,1.960,56.152,44.556,1.404
0.166,-0.571,1.849,66.101,67.505,-0.061
0.266,-0.705,1.610,58.594,70.435,3.479
0.288,-0.742,1.465,4.456,52.490,24.780
0.244,-0.716,1.122,-30.640,36.865,37.537
0.197,-0.669,0.956,-77.209,10.864,56.213
0.130,-0.541,0.686,-87.341,1.526,59.509
0.118,-0.477,0.584,-106.323,-25.391,55.542
0.112,-0.143,1.699,57.251,22.278,21.851
0.133,-0.270,1.718,77.271,37.659,25.391
0.120,-0.309,1.733,76.782,46.326,29.846
0.114,-0.359,1.640,15.686,41.260,25.391
0.142,-0.409,1.542,-21.118,35.950,17.700
0.178,-0.457,1.421,-69.336,34.912,15.015
0.187,-0.425,1.155,-80.383,40.466,23.010
0.170,-0.355,1.020,-87.219,55.664,38.818
0.169,-0.262,0.798,-85.144,58.472,44.067
0.154,-0.208,0.703,-84.473,44.128,54.016
0.137,-0.181,0.675,-101.929,5.615,45.654
0.171,-0.132,0.569,-114.502,-18.494,30.823
0.219,-0.118,0.522,-130.615,-68.848,-0.732
0.270,-0.085,0.512,-128.723,-86.853,-9.399
0.258,-0.062,0.523,-105.896,-92.224,-16.357
0.225,-0.023,0.521,-89.294,-83.862,-19.714
0.217,-0.005,0.518,-59.143,-66.833,-25.696
0.202,0.042,0.551,-49.866,-62.256,-28.137
0.196,0.048,0.590,-54.199,-61.279,-32.471
0.178,0.029,0.630,-66.772,-61.279,-32.776
0.167,0.016,0.606,-87.036,-53.040,-32.043
0.159,-0.016,0.534,-85.937,-46.692,-32.043
0.158,-0.020,0.535,-64.575,-37.048,-28.381
0.142,-0.001,0.541,-52.063,-31.921,-23.193
0.067,0.062,0.545,-35.156,-19.592,-12.390
0.041,0.078,0.554,-36.194,-17.029,-16.174
0.058,0.058,0.578,-43.884,-21.606,-22.827
0.089,0.035,0.583,-57.983,-33.020,-30.762
0.111,0.029,0.589,-57.190,-33.630,-26.611
0.101,0.054,0.595,-40.222,-18.372,-9.644
0.128,-0.101,1.002,1.587,1.038,1.526
0.126,-0.093,1.002,1.221,0.610,4.150
0.121,-0.089,1.005,0.793,-0.427,4.944
0.118,-0.087,1.005,1.404,-0.366,4.333
0.124,-0.102,1.010,2.014,0.488,3.845
0.131,-0.107,1.018,0.549,1.343,5.127
0.137,-0.104,1.023,-1.099,1.099,6.592
0.134,-0.101,1.022,-4.028,-0.183,8.362
0.121,-0.089,1.014,-4.639,-0.549,8.667
0.114,-0.083,1.011,-5.005,-0.488,7.874
0.106,-0.080,1.004,-4.761,-0.122,6.592
0.105,-0.083,0.998,-2.747,1.526,3.540
0.107,-0.098,0.995,-1.648,2.502,2.319
0.116,-0.113,0.996,-1.831,3.113,0.793
0.120,-0.115,0.993,-4.028,2.747,0.854
0.129,-0.118,0.970,-4.578,2.258,0.977
0.132,-0.120,0.965,-3.662,-0.183,2.258
0.131,-0.122,0.971,-2.625,-1.038,3.418
0.126,-0.118,0.972,-0.244,-0.854,4.944
0.116,-0.108,0.977,0.732,-0.671,4.822
0.114,-0.107,0.978,1.404,0.000,3.357
0.121,-0.112,0.984,1.160,-0.427,3.235
0.122,-0.109,0.989,-0.244,-1.587,5.127
0.118,-0.097,0.991,-0.793,-1.404,5.798
0.112,-0.087,0.989,-2.075,-1.892,4.700
0.110,-0.085,0.988,-2.380,-2.258,3.174
0.109,-0.084,0.989,-2.686,-2.747,-0.244
0.110,-0.091,0.991,-2.930,-2.380,-2.747
0.118,-0.099,0.991,-2.197,-2.197,-2.869
0.123,-0.101,0.993,-0.732,-2.686,-1.709
0.154,-0.192,1.001,1.465,-2.991,0.793
0.154,-0.188,1.002,0.916,-3.052,0.916
0.154,-0.184,1.002,1.404,-2.625,0.061
0.155,-0.190,0.992,2.380,-1.831,-0.183
