aX,aY,aZ,gX,gY,gZ
1.796,-0.487,1.116,82.092,90.759,-124.146
2.215,-0.823,1.058,92.468,107.605,-66.589
2.745,-1.342,0.877,66.528,83.618,-15.320
2.404,-1.402,0.695,-16.357,-11.353,106.873
1.985,-1.277,0.625,-42.786,-50.110,162.231
1.237,-0.985,0.546,-42.542,-77.759,231.873
0.887,-0.864,0.567,-34.790,-82.886,250.000
0.040,-0.643,0.773,-36.621,-90.088,271.362
-0.385,-0.509,0.911,-31.982,-80.017,273.865
-0.717,-0.359,0.982,-0.488,-38.574,260.315
-1.170,-0.214,0.973,19.165,-28.870,237.366
-1.278,-0.271,0.990,50.964,-14.954,180.542
-1.320,-0.475,1.002,74.768,13.428,163.574
-1.272,-0.514,0.990,131.348,81.299,141.907
-1.101,-0.452,0.915,138.916,94.299,125.610
-0.922,-0.407,0.813,104.675,66.895,76.538
-0.567,-0.423,0.618,86.853,42.725,57.617
-0.499,-0.472,0.625,78.247,6.958,54.504
-0.584,-0.495,0.787,76.416,-5.554,60.486
-0.648,-0.454,0.876,68.604,-18.372,61.462
-0.680,-0.410,0.956,42.603,-42.297,46.997
-0.679,-0.356,1.098,30.945,-48.645,39.734
-0.675,-0.342,1.155,12.268,-46.143,32.349
-0.649,-0.315,1.188,3.479,-41.809,28.992
-0.616,-0.296,1.169,-5.493,-30.884,20.874
-0.515,-0.245,1.133,-2.441,-22.461,19.531
-0.466,-0.213,1.118,10.559,-1.465,20.386
-0.409,-0.180,1.053,15.076,9.583,18.555
-0.363,-0.181,1.013,14.160,16.052,16.541
-0.309,-0.190,0.972,3.967,14.771,6.775
1.477,-0.587,1.161,51.636,13.367,-47.668
1.763,-0.882,1.126,24.841,25.940,-59.509
2.306,-1.450,0.879,-6.714,19.958,-62.073
2.514,-1.647,0.762,-74.341,-23.254,-21.912
2.401,-1.755,0.574,-98.389,-38.940,34.485
2.083,-1.660,0.415,-92.224,-16.174,186.157
1.288,-1.348,0.084,-58.594,-3.235,255.005
0.872,-1.215,0.096,22.034,-31.860,339.966
0.034,-0.927,0.474,51.331,-53.284,354.187
-0.351,-0.742,0.637,68.726,-64.148,353.638
-0.705,-0.549,0.729,77.209,-71.106,313.171
-1.184,-0.329,0.800,77.271,-78.857,274.597
-1.263,-0.333,0.834,89.905,-96.436,194.824
-1.358,-0.418,0.924,101.257,-95.703,167.725
-1.444,-0.472,0.958,122.742,-72.876,129.883
-1.531,-0.655,1.013,128.723,-57.617,110.352
-1.448,-0.783,1.045,114.014,-32.410,76.538
-1.165,-0.937,0.988,92.163,-19.897,71.045
-1.030,-0.948,0.880,65.002,-9.033,71.167
-0.822,-0.848,0.749,21.240,-5.920,73.059
-0.772,-0.748,0.799,12.573,-11.780,75.134
-0.766,-0.623,0.902,6.104,-20.325,83.801
-0.808,-0.371,1.092,1.038,-21.423,85.693
-0.821,-0.267,1.165,-11.963,-17.883,75.745
-0.748,-0.152,1.265,-16.357,-13.306,64.758
-0.690,-0.132,1.275,-22.583,-1.648,41.138
-0.499,-0.166,1.178,-24.780,3.662,31.067
-0.411,-0.205,1.116,-25.696,6.836,19.043
-0.299,-0.289,1.014,-24.292,7.568,16.968
-0.262,-0.322,0.984,-17.578,11.963,15.991
1.517,-0.525,0.749,7.568,13.672,-9.094
1.723,-0.670,0.652,-28.198,-17.639,-28.931
2.063,-1.019,0.435,-35.706,-28.381,-26.611
2.263,-1.365,0.130,-41.992,-25.391,20.447
2.248,-1.488,-0.034,-23.010,-35.034,137.573
1.743,-1.478,-0.136,9.460,-48.767,215.881
1.303,-1.354,-0.076,112.427,-51.514,350.708
0.324,-0.980,0.178,155.273,-57.068,377.014
-0.176,-0.809,0.431,161.072,-115.601,324.219
-0.996,-0.681,1.060,137.207,-145.508,267.883
-1.272,-0.761,1.265,108.398,-150.024,179.749
-1.469,-1.050,1.396,104.004,-130.859,158.813
-1.428,-1.129,1.303,79.956,-87.036,137.695
-1.316,-1.177,0.923,58.838,-81.787,126.526
-1.293,-1.164,0.803,36.560,-85.205,116.638
-1.296,-0.970,0.738,38.086,-79.773,122.070
-1.304,-0.808,0.779,40.222,-73.975,127.625
-1.306,-0.466,0.891,25.757,-68.054,120.178
-1.241,-0.318,0.908,4.456,-70.190,100.525
-1.019,-0.085,0.952,-43.152,-83.618,47.180
-0.930,0.009,1.001,-47.302,-79.956,32.104
-0.867,0.086,1.055,-14.526,-46.570,28.442
-0.745,0.162,1.136,-0.122,-31.372,24.780
-0.670,0.125,1.173,-1.221,-18.127,0.916
-0.551,-0.047,1.206,-11.536,-15.259,-10.620
-0.506,-0.136,1.181,-25.146,-1.465,-21.240
