aX,aY,aZ,gX,gY,gZ
-2.010,0.006,1.302,17.151,-15.015,7.751
-2.596,0.188,1.667,21.423,10.559,-29.968
-2.686,0.272,1.826,15.991,24.841,-64.392
-2.706,0.329,1.895,-28.503,44.312,-144.531
-2.607,0.352,1.733,-64.697,48.462,-188.538
-2.471,0.346,1.539,-135.620,38.086,-285.034
-2.139,0.219,0.980,-154.663,18.921,-326.599
-1.923,-0.032,0.691,-119.751,-27.527,-386.291
-1.073,-1.169,0.447,-70.557,-41.321,-392.151
0.157,-2.305,0.637,23.926,-35.828,-324.768
0.682,-2.505,0.710,45.105,-20.630,-275.146
1.069,-2.440,0.673,11.047,-36.560,-226.929
1.549,-2.095,0.503,-12.695,-75.317,-224.426
1.778,-1.973,0.618,10.132,-100.037,-202.148
2.080,-1.598,1.037,27.832,-73.303,-174.622
2.067,-1.307,1.197,10.010,-34.302,-101.990
1.715,-0.707,1.344,-9.399,-31.006,-75.073
1.520,-0.476,1.323,-25.940,-16.113,-60.303
1.208,-0.163,1.133,-26.001,-0.977,-56.946
1.092,-0.072,1.023,-18.433,34.119,-43.213
0.925,0.026,0.846,-20.020,46.265,-35.950
0.865,0.048,0.776,-29.114,49.744,-22.705
0.765,0.053,0.750,-29.663,45.898,-13.489
0.706,0.042,0.779,-25.208,41.443,8.972
0.575,0.053,0.835,-22.583,41.199,16.052
0.538,0.054,0.846,-15.320,32.959,15.137
0.495,0.038,0.889,-12.146,23.926,14.343
0.458,0.033,0.924,-10.986,8.728,23.071
0.333,0.037,0.976,-9.277,9.827,30.457
0.281,0.052,0.975,0.366,24.841,36.194
-1.596,-0.611,1.294,38.574,-4.700,0.183
-2.004,-0.560,1.568,33.325,-1.770,-2.991
-2.791,-0.103,2.024,-10.254,51.819,-46.082
-3.141,0.470,1.749,-58.228,71.167,-90.210
-3.124,0.651,1.413,-164.368,40.100,-205.139
-2.927,0.561,0.785,-188.782,7.568,-263.977
-2.702,0.195,0.529,-157.166,-34.058,-367.310
-1.645,-1.042,0.381,-122.498,-53.101,-398.621
-0.824,-1.624,0.442,-90.088,-112.976,-397.949
0.693,-2.392,0.525,-94.238,-164.246,-375.305
1.263,-2.542,0.729,-66.711,-242.737,-298.889
1.691,-2.312,1.221,-22.705,-220.825,-242.798
1.681,-1.977,1.444,69.275,-98.450,-131.348
1.487,-1.139,1.885,79.468,-62.927,-94.055
1.338,-0.786,1.976,31.799,-59.814,-59.082
1.091,-0.308,1.923,4.639,-48.950,-52.490
1.072,-0.184,1.742,-32.837,14.404,-44.861
1.151,-0.078,1.254,-28.503,41.992,-45.532
1.234,-0.094,1.155,4.456,79.590,-48.767
1.280,-0.067,1.051,6.470,96.191,-39.185
1.184,0.018,0.940,-3.174,106.873,-24.963
0.939,0.172,0.722,-35.583,78.918,-4.944
0.822,0.202,0.700,-45.959,51.758,2.258
0.707,0.214,0.717,-41.199,40.588,18.738
0.508,0.239,0.751,-30.212,51.514,21.729
0.449,0.233,0.760,-10.254,65.613,15.930
0.387,0.178,0.785,-4.700,64.636,11.719
0.367,0.135,0.819,-1.343,51.575,5.371
0.351,0.049,0.918,-1.099,44.617,4.944
0.339,0.018,0.959,4.944,53.101,15.015
-1.406,-0.402,1.148,-19.836,-17.090,-5.493
-1.686,-0.461,1.240,-35.522,-14.587,-33.752
-2.084,-0.519,1.446,-43.274,0.916,-56.458
-2.167,-0.481,1.491,-67.993,37.720,-111.755
-2.216,-0.279,1.378,-86.060,48.401,-140.015
-2.248,-0.182,1.289,-120.605,50.293,-204.468
-2.234,-0.121,1.118,-133.545,49.255,-249.145
-2.084,-0.157,1.011,-139.343,32.104,-352.905
-1.444,-0.466,0.869,-130.432,9.644,-395.508
-0.940,-0.805,0.792,-103.882,-48.157,-409.485
0.190,-1.720,0.559,-82.764,-71.899,-374.573
0.758,-1.967,0.602,-52.795,-81.482,-332.520
1.627,-1.817,0.813,-7.446,-65.125,-263.916
1.881,-1.647,0.862,-3.723,-57.312,-225.525
2.219,-1.411,0.982,-0.793,-46.692,-138.977
2.359,-1.298,1.071,4.517,-38.574,-108.093
2.419,-1.119,1.189,6.042,-45.044,-70.801
2.127,-0.601,1.385,6.958,-52.490,-56.152
1.872,-0.365,1.428,14.099,-29.968,-33.936
1.389,-0.038,1.350,6.531,-5.981,-18.250
1.177,0.072,1.238,-19.226,29.297,10.437
0.832,0.213,0.976,-28.625,34.668,17.395
0.700,0.249,0.864,-33.875,38.147,21.790
0.553,0.264,0.694,-30.518,41.382,21.179
0.510,0.255,0.648,-24.231,43.945,20.447
0.467,0.226,0.646,-7.751,42.542,21.301
0.422,0.124,0.742,-1.892,40.527,22.705
0.409,0.097,0.787,-1.160,38.940,28.503
0.374,0.086,0.804,-3.235,38.940,30.884
0.360,0.068,0.793,-0.305,41.992,33.203
-1.690,-0.565,1.384,-34.424,-50.781,-33.203
-1.895,-0.476,1.545,-38.208,-35.217,-70.740
-2.225,-0.056,1.764,-44.922,-10.681,-86.609
-2.375,0.226,1.721,-98.145,44.189,-120.789
-2.561,0.617,1.272,-144.836,57.556,-150.024
-2.516,0.666,0.922,-209.229,25.146,-249.634
-2.077,0.349,0.389,-191.406,-13.245,-307.678
-1.648,-0.135,0.332,-140.869,-45.532,-352.356
-0.372,-1.594,0.410,-13.611,-58.533,-338.928
0.281,-2.081,0.519,31.677,-52.063,-284.668
0.826,-2.225,0.659,63.721,-39.001,-214.722
1.565,-2.009,0.904,56.763,-45.654,-203.674
1.767,-1.893,1.116,40.771,-73.914,-154.053
2.045,-1.651,1.575,36.743,-62.744,-120.850
2.101,-1.432,1.663,20.752,-1.648,-74.585
1.981,-0.812,1.503,4.639,14.465,-66.650
1.787,-0.506,1.356,-22.522,17.090,-55.603
1.419,-0.102,1.129,-28.687,27.100,-44.800
1.288,-0.025,1.028,-14.832,58.533,-25.452
1.010,0.039,0.885,-13.184,58.594,-21.667
0.903,0.059,0.857,-20.447,52.917,-16.724
0.822,0.082,0.834,-32.471,49.316,-5.249
0.685,0.099,0.809,-32.227,48.035,2.686
0.628,0.083,0.823,-28.870,39.673,11.841
0.565,0.062,0.829,-28.564,36.255,11.536
0.549,0.077,0.818,-25.085,32.593,9.888
0.506,0.106,0.825,-21.973,30.212,9.949
0.484,0.098,0.820,-19.775,26.672,10.376
0.431,0.057,0.817,-13.550,18.921,15.930
0.413,0.036,0.828,-7.629,17.761,20.752
-1.490,-0.267,1.162,-7.141,-31.250,-15.869
-1.710,-0.235,1.152,-6.775,-12.085,-44.250
-1.936,-0.114,1.202,-11.475,-2.502,-68.359
-1.983,0.018,1.240,-31.494,10.010,-122.559
-2.118,0.347,1.201,-40.588,19.348,-149.353
-2.105,0.446,1.087,-55.908,42.053,-217.651
-1.792,0.379,0.856,-64.026,41.260,-258.301
-1.486,0.160,0.754,-66.833,7.202,-321.289
-0.626,-0.717,0.577,-47.302,-14.343,-324.219
-0.126,-1.341,0.577,40.894,-17.151,-262.634
0.899,-2.234,1.145,86.426,11.353,-227.661
1.352,-2.270,1.450,56.641,58.960,-189.880
1.854,-1.816,1.360,-5.188,37.781,-174.194
1.958,-1.572,1.166,-66.101,-9.094,-141.785
2.071,-1.150,0.889,-53.711,-2.625,-118.530
1.990,-0.876,0.856,-21.912,9.766,-70.557
1.629,-0.359,0.856,-21.301,6.165,-54.443
1.415,-0.168,0.845,-23.254,13.367,-25.391
1.038,0.046,0.786,-18.127,20.691,-16.174
0.895,0.084,0.760,-4.700,18.921,-11.902
0.673,0.102,0.765,-4.333,18.127,-9.399
0.604,0.115,0.753,-5.371,35.217,-4.211
0.553,0.124,0.687,-1.709,42.542,-5.310
0.552,0.095,0.676,1.709,34.424,-7.446
0.542,0.011,0.734,-0.610,25.940,-3.784
0.522,-0.016,0.762,-4.700,21.667,7.568
