aX,aY,aZ,gX,gY,gZ
0.194,-1.905,1.065,219.604,-66.589,67.749
0.239,-2.261,1.411,344.665,-93.262,194.824
0.186,-2.904,2.673,375.183,-93.933,283.569
-0.02,-2.909,3.447,267.761,-9.338,424.072
-0.697,-1.853,3.991,92.407,69.031,430.42
-1.088,-1.112,3.505,-425.72,158.875,325.745
-1.395,0.047,1.772,-655.212,153.748,255.859
-1.485,0.531,1.03,-817.505,211.243,192.383
-2.013,1.989,-1.647,-757.873,303.101,175.171
-1.909,2.734,-3.395,-419.128,152.405,-97.107
-0.56,1.908,-3.643,-216.797,-93.384,-313.354
0.046,0.991,-3.162,52.185,-307.983,-468.384
-0.201,0.032,-3.181,154.785,-296.875,-414.429
-0.825,-0.649,-3.066,426.758,-303.101,-311.462
-1.129,-2.848,-1.865,566.65,-317.383,-306.824
-0.607,-3.747,-0.951,612.183,-354.065,-304.077
0.423,-4,0.712,504.639,-366.943,-239.807
0.364,-3.979,1.196,351.746,-252.014,34.058
-0.558,-2.939,1.426,362.671,-154.236,156.006
-0.904,-2.288,1.667,372.925,-84.961,202.942
-1,-1.599,2.524,307.19,-85.876,154.541
-0.852,-1.567,2.59,77.393,-52.124,75.989
-0.644,-1.58,2.112,-2.563,-19.165,75.745
-0.621,-1.475,1.814,-43.518,49.438,96.558
-0.531,-1.103,1.332,-51.575,59.692,88.196
-0.431,-0.967,1.17,-87.28,42.236,38.635
-0.204,-0.841,0.887,-102.6,34.729,17.151
-0.124,-0.794,0.74,-112.671,34.241,0.916
0.016,-0.742,0.496,-110.474,33.569,1.77
0.067,-0.736,0.439,-95.032,22.827,12.207
-0.219,-2.095,1.236,220.642,-118.774,110.352
-0.351,-2.37,1.566,262.878,-114.929,216.797
-0.575,-2.724,2.258,258.057,-98.511,260.193
-0.63,-2.718,2.524,137.207,-44.25,298.157
-0.718,-2.229,2.511,22.827,-13.062,293.335
-0.791,-1.808,2.297,-213.135,64.514,258.423
-0.881,-0.833,1.866,-321.106,115.356,234.07
-0.734,-0.426,1.616,-544.434,207.886,180.054
-0.279,0.071,0.846,-638.184,249.451,174.255
-0.234,0.333,0.162,-739.136,329.529,211.426
-0.994,1.492,-2.433,-747.253,328.308,216.492
-1.421,2.464,-3.752,-550.537,69.519,-8.728
-1.278,2.605,-3.709,-322.449,-127.625,-222.717
-0.976,1.724,-2.998,111.45,-251.099,-431.519
-1.279,0.079,-2.681,243.347,-225.647,-414.917
-1.597,-0.842,-2.695,444.458,-268.066,-444.519
-1.058,-3.404,-1.949,523.56,-324.097,-489.807
-0.154,-4,-0.97,519.897,-436.157,-400.635
0.633,-4,1.127,454.956,-412.353,-207.642
0.281,-3.833,1.367,396.606,-171.936,168.091
-0.522,-2.536,1.307,389.404,-108.276,218.75
-0.703,-2.038,1.546,296.997,-133.606,149.292
-0.8,-1.82,2.011,228.455,-138.306,116.455
-0.765,-1.768,2.078,129.517,-88.562,105.835
-0.636,-1.507,1.94,102.356,-51.819,112.854
-0.586,-1.355,1.724,76.538,-20.569,114.014
-0.506,-1.142,1.258,17.273,3.662,82.458
-0.428,-1.068,1.064,-8.362,8.911,60.669
-0.256,-0.923,0.809,-45.654,13.123,32.532
-0.189,-0.873,0.735,-54.321,12.329,23.132
-0.074,-2.185,0.958,135.193,-93.323,106.689
-0.087,-2.434,1.276,135.498,-122.07,186.401
-0.172,-2.775,2.088,104.126,-126.831,229.187
-0.277,-2.671,2.318,-21.79,-62.256,313.965
-0.671,-1.834,2.255,-101.318,-10.864,339.294
-0.786,-0.825,2.051,-275.879,91.797,297.241
-0.684,-0.44,2.004,-378.784,132.385,249.878
-0.573,-0.134,1.888,-593.994,213.257,199.341
-0.722,0.328,0.819,-682.739,262.329,209.961
-1.152,0.694,-0.346,-765.808,318.054,199.89
-1.869,2.349,-3.513,-710.998,251.77,85.266
-1.806,2.767,-4,-363.525,-152.222,-346.252
-1.27,1.026,-3.408,-153.87,-297.607,-511.78
-1.114,-0.289,-3.242,186.218,-300.781,-560.852
-1.244,-2.449,-3.03,323.975,-297.974,-538.208
-1.162,-3.341,-2.656,530.334,-383.972,-524.17
