aX,aY,aZ,gX,gY,gZ
0.243,-0.141,2.709,180.725,19.47,47.729
0.162,-0.268,3.277,171.265,-74.829,35.706
0.173,-0.914,4,156.006,-63.538,25.696
0.369,-1.148,4,59.937,86.67,57.434
0.55,-1.192,3.692,-14.954,101.685,77.82
0.493,-1.155,3.331,-186.462,-29.541,90.149
0.226,-0.961,2.55,-253.357,-75.5,92.834
0.113,-0.827,2.182,-276.428,-30.396,98.572
0.071,-0.73,1.512,-247.62,22.217,98.572
0.111,-0.754,1.12,-190.796,88.135,93.933
0.246,-0.777,0.161,-175.598,86.67,93.933
0.314,-0.726,-0.242,-155.762,26.245,92.346
0.24,-0.41,-0.633,-137.207,-12.695,87.769
0.132,-0.277,-0.635,-68.97,-47.363,56.824
-0.015,-0.176,-0.47,-33.813,-41.443,32.837
-0.067,-0.17,-0.348,-24.475,-46.936,-17.7
-0.117,-0.198,-0.211,-52.856,-72.815,-43.03
-0.099,-0.194,-0.19,-130.798,-145.325,-80.505
-0.11,-0.155,-0.119,-164.917,-164.734,-93.628
-0.075,-0.153,-0.146,-176.208,-135.193,-119.202
-0.039,-0.131,-0.125,-128.296,-76.477,-118.835
0.001,-0.026,-0.007,-110.046,-56.824,-111.084
0.025,0.012,0.058,-91.675,-44.312,-96.375
0.062,0.091,0.265,-80.444,-41.748,-88.379
0.077,0.135,0.371,-41.809,-10.742,-62.5
0.09,0.23,0.511,-20.813,15.503,-43.457
0.086,0.281,0.527,-3.906,54.382,-8.24
0.078,0.38,0.475,-8.606,54.81,2.441
0.065,0.43,0.456,-21.301,26.489,12.024
-0.008,0.545,0.531,-20.813,11.414,13.977
0.386,-0.104,2.395,76.66,37.415,-9.033
0.494,-0.163,2.711,99.243,44.495,-10.986
0.712,-0.516,3.29,93.262,52.673,-4.456
0.773,-0.738,3.434,14.771,66.895,29.053
0.616,-1.055,3.392,-42.175,67.505,49.133
0.482,-1.16,3.233,-151.123,76.782,70.129
0.338,-1.352,2.591,-196.411,86.243,72.144
0.322,-1.409,2.195,-242.31,94.666,85.144
0.285,-1.376,1.474,-246.948,96.802,96.985
0.292,-1.329,1.113,-272.644,82.764,113.892
0.36,-1.184,0.493,-303.162,47.913,115.845
0.394,-1.07,0.313,-347.046,-35.889,108.032
0.388,-0.845,0.082,-340.393,-49.011,111.389
0.365,-0.738,-0.032,-272.339,-14.771,147.766
