aX,aY,aZ,gX,gY,gZ
-0.041,0.958,-0.107,-88.379,46.204,20.569
-0.069,0.963,-0.161,-79.041,43.823,17.212
-0.067,0.977,-0.119,-65.674,37.781,14.954
-0.058,0.975,-0.122,-65.002,37.903,15.503
-0.053,0.975,-0.139,-69.092,40.283,20.508
-0.077,1.005,-0.214,-69.397,39.551,21.240
-0.076,1.018,-0.234,-59.448,30.518,13.489
-0.062,1.040,-0.193,-52.002,25.574,9.216
-0.052,1.052,-0.139,-47.607,22.827,4.333
-0.028,1.047,-0.144,-51.819,24.780,4.150
-0.023,1.046,-0.208,-55.115,22.766,4.089
-0.012,1.055,-0.256,-47.607,17.517,1.465
-0.005,1.062,-0.198,-29.175,17.090,-7.080
0.000,1.048,-0.167,-27.832,21.545,-9.277
-0.009,1.051,-0.190,-32.776,19.958,-7.446
-0.029,1.059,-0.244,-31.799,16.907,-8.606
-0.030,1.042,-0.258,-23.254,10.498,-12.573
-0.029,1.021,-0.255,-20.081,8.789,-13.000
-0.031,1.010,-0.278,-12.634,6.775,-13.611
-0.054,1.005,-0.282,-7.568,3.296,-13.000
-0.061,1.005,-0.262,-1.709,-3.601,-11.597
-0.064,0.989,-0.255,-0.854,-5.676,-10.620
-0.070,0.981,-0.256,1.709,-9.399,-9.033
-0.059,0.970,-0.255,4.456,-10.925,-8.972
-0.055,0.983,-0.222,12.146,-15.381,-5.920
-0.066,0.995,-0.181,14.343,-16.357,-4.639
-0.039,0.975,-0.146,10.071,-11.353,-7.080
-0.020,0.964,-0.159,5.371,-8.911,-5.737
-0.019,0.972,-0.182,0.610,-8.484,1.160
-0.026,0.982,-0.174,2.197,-8.911,1.831
0.005,1.026,-0.219,-27.954,12.268,1.465
-0.004,1.006,-0.201,-26.672,11.963,2.930
-0.018,1.000,-0.212,-27.405,12.695,4.517
-0.025,0.977,-0.255,-25.879,14.160,4.700
-0.036,0.974,-0.253,-22.888,13.428,5.859
-0.062,0.980,-0.211,-23.682,15.198,6.104
-0.076,0.981,-0.225,-26.550,18.372,6.348
-0.087,0.984,-0.270,-30.945,18.799,8.057
-0.086,0.987,-0.260,-29.724,16.418,8.972
-0.085,0.990,-0.245,-25.757,14.648,9.033
-0.092,1.002,-0.245,-24.048,13.367,8.362
-0.089,1.003,-0.234,-20.935,7.751,4.517
-0.062,0.972,-0.226,-19.226,6.592,2.319
-0.054,0.961,-0.221,-15.625,6.775,1.709
-0.053,0.953,-0.230,-14.099,6.775,2.136
-0.053,0.947,-0.242,-9.888,4.517,2.136
-0.053,0.925,-0.275,-6.470,1.831,1.953
-0.059,0.922,-0.273,2.930,-4.150,1.587
-0.085,0.928,-0.236,6.287,-4.944,0.427
-0.088,0.923,-0.232,7.385,-3.174,-2.991
-0.085,0.909,-0.248,7.141,-2.502,-3.052
-0.086,0.918,-0.241,6.287,-2.380,-0.977
-0.076,0.933,-0.239,5.371,-2.258,-0.854
-0.066,0.935,-0.248,6.287,-3.418,-0.122
-0.056,0.955,-0.234,7.751,-4.028,0.427
-0.060,0.966,-0.226,8.728,-3.662,0.122
-0.046,0.969,-0.217,8.850,-1.831,-2.441
-0.036,0.964,-0.215,8.118,-1.099,-2.747
-0.033,0.965,-0.216,6.042,-0.305,-0.305
-0.036,0.972,-0.221,5.249,-0.244,0.977
0.035,0.823,-0.200,-66.956,44.312,11.597
0.026,0.848,-0.215,-58.411,35.706,17.151
0.027,0.886,-0.166,-51.208,33.020,17.151
0.051,0.891,-0.149,-46.570,36.987,16.846
0.062,0.889,-0.204,-48.401,37.415,19.592
0.041,0.934,-0.260,-41.321,29.602,27.344
0.023,0.970,-0.232,-33.386,26.184,28.381
0.009,1.002,-0.210,-20.935,28.198,24.597
-0.012,1.033,-0.245,-16.418,28.137,22.583
-0.024,1.049,-0.240,-6.531,20.386,18.860
-0.033,1.069,-0.175,-2.747,17.700,15.625
-0.014,1.062,-0.156,-1.953,19.226,8.972
-0.008,1.036,-0.188,-3.967,19.714,9.705
-0.024,1.041,-0.206,-4.883,16.052,14.160
-0.055,1.045,-0.265,-2.075,14.465,14.343
-0.078,1.054,-0.285,6.531,7.019,13.550
-0.114,1.079,-0.249,10.193,1.953,11.536
-0.114,1.087,-0.208,10.071,-3.601,6.897
-0.094,1.092,-0.182,6.836,-3.296,5.310
-0.085,1.091,-0.189,3.052,-3.052,4.395
-0.079,1.085,-0.178,3.052,-3.845,3.662
-0.076,1.074,-0.178,2.869,-5.127,2.441
-0.069,1.037,-0.189,3.052,-9.277,-0.977
-0.061,1.014,-0.180,4.700,-10.925,-3.296
-0.030,0.982,-0.146,5.188,-11.230,-4.639
-0.018,0.972,-0.142,2.991,-9.705,-3.540
-0.012,0.967,-0.137,-0.610,-5.798,0.244
-0.022,0.973,-0.154,-1.709,-3.601,1.465
-0.032,0.973,-0.183,0.854,-0.854,0.549
-0.043,0.976,-0.194,3.662,-1.770,0.427
-0.099,0.990,-0.119,-9.399,18.616,16.968
-0.097,1.010,-0.112,-9.216,16.052,15.259
-0.097,1.016,-0.119,-8.240,12.207,11.597
-0.110,1.023,-0.149,-6.409,10.193,9.094
-0.103,1.020,-0.161,0.977,5.005,3.235
-0.081,1.037,-0.128,4.517,1.709,2.136
-0.079,1.060,-0.082,4.578,0.366,-1.526
-0.045,1.072,-0.054,1.343,2.747,-4.456
-0.028,1.075,-0.051,-6.104,4.028,-3.174
-0.028,1.093,-0.039,-9.949,4.089,-1.709
-0.029,1.082,-0.060,-13.184,6.165,-2.869
-0.034,1.052,-0.073,-12.268,6.714,-3.540
-0.040,1.041,-0.079,-12.573,6.348,-1.709
-0.077,1.027,-0.110,-11.597,6.165,-1.404
-0.089,1.016,-0.109,-6.042,8.545,-5.432
-0.088,0.994,-0.093,-5.920,8.179,-5.188
-0.093,0.989,-0.086,-8.362,5.066,-2.258
-0.089,0.972,-0.079,-8.240,4.333,-2.380
-0.080,0.968,-0.067,-6.165,3.296,-2.014
-0.073,0.960,-0.053,-4.578,4.333,-2.625
-0.063,0.944,-0.061,0.061,6.165,-3.479
-0.050,0.941,-0.036,2.258,5.432,-1.160
-0.056,0.956,-0.020,2.197,5.005,2.563
-0.071,0.966,-0.043,3.357,6.653,1.831
-0.078,0.973,-0.043,7.629,8.362,1.160
-0.089,0.989,-0.060,7.629,7.568,2.563
-0.103,1.001,-0.074,7.874,6.042,4.089
-0.127,1.024,-0.066,11.353,2.136,2.930
-0.124,1.024,-0.055,12.146,0.916,0.488
-0.100,1.018,-0.051,9.766,-0.854,-2.563
-0.014,1.015,0.052,-25.696,12.146,11.780
-0.032,1.025,0.026,-25.391,12.634,12.390
-0.031,1.023,0.015,-24.536,11.780,13.611
-0.042,1.026,-0.002,-24.353,10.620,14.771
-0.058,1.032,-0.019,-21.545,6.958,14.465
-0.081,1.035,-0.032,-18.921,5.554,11.841
-0.080,1.021,-0.041,-15.564,2.136,7.446
-0.073,1.002,-0.057,-14.893,-1.648,7.690
-0.070,1.004,-0.050,-10.437,-6.470,7.690
-0.073,1.012,-0.027,-7.874,-6.409,6.348
-0.070,1.013,-0.013,-7.263,-5.249,2.991
-0.052,1.008,-0.011,-8.606,-5.249,2.441
-0.051,1.014,-0.010,-9.888,-6.348,1.953
-0.049,1.016,0.000,-9.521,-6.042,0.000
-0.036,1.004,0.000,-9.155,-4.211,-1.953
-0.025,0.995,0.014,-10.925,-4.028,0.122
-0.035,1.002,0.012,-15.930,-2.258,2.014
-0.038,0.991,-0.018,-16.296,-0.244,0.183
-0.026,0.978,-0.030,-13.977,1.648,0.000
-0.033,0.978,-0.040,-11.719,2.075,1.831
-0.049,0.983,-0.043,-7.507,1.282,2.625
-0.056,0.985,-0.025,-7.568,-0.671,2.319
-0.054,0.989,-0.010,-12.024,-2.258,3.174
-0.058,0.988,-0.030,-13.672,0.061,2.808
-0.057,0.980,-0.062,-10.986,4.150,2.258
-0.072,0.984,-0.081,-7.812,3.418,3.418
-0.085,0.992,-0.085,-3.174,-1.465,3.418
-0.093,0.997,-0.077,-1.282,-4.761,1.892
-0.089,0.999,-0.049,0.488,-6.042,-1.709
-0.061,0.989,-0.025,-0.977,-4.150,-2.197
-0.004,0.932,-0.013,-124.451,44.006,18.372
-0.007,0.943,-0.056,-110.474,32.227,22.034
-0.016,0.962,-0.041,-102.478,27.588,23.254
-0.014,0.977,-0.036,-91.919,25.330,19.958
-0.012,0.978,-0.042,-89.172,25.635,18.066
-0.014,0.985,-0.042,-88.135,25.574,17.334
-0.007,0.986,-0.042,-89.111,25.696,17.029
-0.005,0.982,-0.047,-93.567,27.344,18.433
-0.000,0.974,-0.107,-97.229,25.879,20.935
-0.002,0.978,-0.156,-96.252,18.860,26.184
-0.034,0.998,-0.196,-90.515,16.174,25.391
-0.048,0.992,-0.229,-77.576,15.015,16.174
-0.055,0.965,-0.262,-70.862,13.916,12.024
-0.052,0.959,-0.255,-64.026,12.085,8.667
-0.066,0.940,-0.271,-62.927,12.878,8.606
-0.072,0.924,-0.295,-61.035,13.428,9.216
-0.087,0.908,-0.371,-58.716,10.315,10.742
-0.093,0.911,-0.370,-48.645,2.441,9.766
-0.074,0.899,-0.351,-43.213,2.563,7.507
-0.060,0.896,-0.353,-35.645,2.075,8.972
-0.059,0.917,-0.335,-32.410,1.343,11.047
-0.062,0.924,-0.323,-30.273,2.014,12.878
-0.069,0.917,-0.375,-29.907,2.747,13.184
-0.082,0.913,-0.412,-26.978,2.380,12.268
-0.088,0.912,-0.403,-15.686,-3.113,8.057
-0.084,0.913,-0.399,-11.414,-5.066,6.836
-0.075,0.909,-0.423,-5.005,-6.226,5.554
-0.074,0.912,-0.433,-1.221,-7.751,5.798
-0.082,0.941,-0.377,7.690,-11.414,5.066
-0.080,0.940,-0.368,8.362,-11.658,3.601
