aX,aY,aZ,gX,gY,gZ
-0.196,-1.011,-0.497,27.527,13.184,-34.851
-0.181,-1.047,-0.486,29.724,15.686,-28.992
-0.207,-1.040,-0.484,33.325,18.616,-23.071
-0.243,-0.964,-0.452,37.903,20.386,-15.564
-0.256,-0.920,-0.439,27.954,14.709,-17.883
-0.271,-0.898,-0.457,19.348,9.705,-20.874
-0.259,-0.913,-0.470,11.902,4.150,-22.095
-0.237,-0.920,-0.461,8.362,0.732,-16.663
-0.252,-0.912,-0.461,10.925,3.662,-12.390
-0.278,-0.892,-0.448,13.184,6.470,-6.958
-0.267,-0.887,-0.419,10.803,5.005,-5.554
-0.260,-0.893,-0.397,3.052,7.202,0.122
-0.274,-0.894,-0.421,0.488,11.169,3.723
-0.312,-0.887,-0.481,-0.610,14.160,7.141
-0.308,-0.879,-0.486,0.061,11.414,5.554
-0.287,-0.875,-0.470,0.122,3.967,2.380
-0.258,-0.880,-0.437,-0.977,2.319,2.563
-0.259,-0.880,-0.433,-3.296,1.221,3.845
-0.281,-0.869,-0.416,-3.174,1.221,3.967
-0.293,-0.865,-0.414,-1.465,3.052,4.639
-0.302,-0.854,-0.416,-1.099,3.967,5.249
-0.297,-0.846,-0.424,-2.563,4.883,4.333
-0.284,-0.849,-0.454,-3.723,4.211,2.563
-0.280,-0.859,-0.464,-3.540,0.305,0.061
-0.267,-0.863,-0.441,-2.136,-1.282,0.122
-0.264,-0.855,-0.421,-0.366,-0.732,2.380
-0.267,-0.834,-0.402,-2.258,0.488,3.845
-0.270,-0.831,-0.416,-7.080,2.197,4.395
-0.273,-0.834,-0.447,-7.751,2.014,3.662
-0.278,-0.835,-0.456,-5.981,1.831,2.625
-0.088,-0.874,-0.189,77.332,13.123,-48.950
-0.078,-0.888,-0.171,70.618,14.587,-54.138
-0.066,-0.922,-0.154,68.359,20.691,-54.016
-0.089,-0.946,-0.188,64.392,32.471,-45.837
-0.141,-0.990,-0.269,65.979,35.950,-40.833
-0.139,-1.020,-0.275,69.092,39.490,-36.011
-0.203,-1.046,-0.320,79.651,52.246,-27.466
-0.246,-1.048,-0.383,86.243,60.425,-29.724
-0.266,-1.059,-0.441,88.684,58.899,-43.762
-0.237,-1.084,-0.443,84.900,52.551,-50.476
-0.161,-1.177,-0.453,79.529,50.049,-52.673
-0.157,-1.208,-0.465,82.031,56.091,-44.983
-0.237,-1.212,-0.513,95.459,71.960,-27.161
-0.262,-1.196,-0.528,97.900,73.975,-22.888
-0.212,-1.149,-0.497,81.726,62.378,-19.897
-0.173,-1.130,-0.497,67.871,55.908,-18.372
-0.156,-1.112,-0.529,44.250,46.387,-11.597
-0.175,-1.078,-0.590,36.194,39.856,-9.033
-0.188,-1.052,-0.535,25.085,21.973,-5.798
-0.192,-1.033,-0.500,21.179,15.137,-2.991
-0.206,-1.005,-0.481,15.991,8.850,4.089
-0.252,-0.929,-0.463,13.916,7.202,5.920
-0.270,-0.892,-0.453,7.080,1.953,4.028
-0.286,-0.856,-0.426,2.625,-0.916,1.221
-0.286,-0.856,-0.422,-3.296,-3.906,-2.380
-0.279,-0.862,-0.436,-3.479,-4.272,-2.441
-0.277,-0.862,-0.433,-0.916,-2.563,-1.709
-0.280,-0.863,-0.418,-0.244,-0.610,-2.075
-0.283,-0.854,-0.428,-2.930,1.709,-3.052
-0.282,-0.853,-0.441,-5.127,1.953,-2.930
0.057,-1.196,-0.110,41.870,-12.268,-91.675
0.000,-1.252,-0.191,35.034,-1.099,-81.421
-0.053,-1.233,-0.229,43.152,26.001,-55.847
-0.090,-1.195,-0.219,50.720,38.757,-45.288
-0.127,-1.153,-0.204,54.810,55.603,-35.828
-0.165,-1.107,-0.226,50.537,59.326,-35.156
-0.163,-1.106,-0.267,37.598,58.838,-33.203
-0.149,-1.103,-0.327,32.959,57.373,-32.043
-0.141,-1.099,-0.322,26.062,57.129,-29.358
-0.164,-1.112,-0.368,23.560,57.312,-26.978
-0.177,-1.119,-0.424,24.048,50.598,-22.583
-0.145,-1.113,-0.434,25.330,43.823,-20.935
-0.126,-1.099,-0.397,24.780,35.889,-16.541
-0.158,-1.081,-0.368,23.254,33.813,-15.869
-0.181,-1.089,-0.387,14.954,20.691,-17.456
-0.156,-1.092,-0.385,8.118,10.559,-15.991
-0.132,-1.089,-0.357,1.953,-0.549,-8.118
-0.136,-1.067,-0.318,3.296,0.305,-2.502
-0.160,-1.038,-0.308,4.089,4.517,7.629
-0.219,-0.988,-0.297,2.258,5.737,9.155
-0.228,-0.976,-0.291,-1.831,4.333,6.531
-0.233,-0.954,-0.289,-3.418,2.319,5.676
-0.237,-0.947,-0.302,-5.249,0.305,4.395
-0.235,-0.931,-0.313,-4.578,0.183,3.601
-0.237,-0.923,-0.311,-3.601,0.122,2.747
-0.241,-0.907,-0.301,-3.662,0.244,2.197
-0.240,-0.901,-0.292,-5.371,0.427,-0.183
-0.227,-0.904,-0.297,-7.446,0.366,-0.793
-0.221,-0.909,-0.311,-8.972,0.305,-0.977
-0.217,-0.908,-0.330,-7.568,0.366,-1.343
-0.081,-1.151,-0.289,102.234,31.433,-50.476
-0.048,-1.200,-0.282,82.397,32.959,-46.021
-0.051,-1.264,-0.343,85.693,43.091,-32.227
-0.113,-1.227,-0.376,107.117,66.589,-7.812
-0.204,-1.104,-0.396,112.549,71.167,-8.728
-0.189,-1.066,-0.360,91.187,60.303,-20.630
-0.134,-1.082,-0.397,74.890,56.946,-24.414
-0.123,-1.099,-0.464,58.960,56.213,-22.278
-0.123,-1.078,-0.528,58.167,55.359,-19.165
-0.130,-1.055,-0.516,50.110,46.570,-14.832
-0.143,-1.043,-0.472,40.955,39.368,-13.733
-0.159,-1.047,-0.471,26.428,26.733,-12.817
-0.198,-1.030,-0.494,23.987,20.874,-13.367
-0.192,-1.007,-0.484,20.630,8.484,-14.587
-0.180,-0.960,-0.438,17.517,4.028,-13.916
-0.192,-0.945,-0.431,12.451,0.610,-12.329
-0.207,-0.922,-0.417,10.559,0.305,-11.108
-0.214,-0.915,-0.420,7.935,2.441,-8.118
-0.224,-0.903,-0.432,7.324,2.991,-6.897
-0.222,-0.896,-0.429,6.042,2.686,-5.798
-0.205,-0.885,-0.413,4.395,2.991,-5.005
-0.199,-0.885,-0.414,0.244,6.042,-0.977
-0.212,-0.891,-0.445,-0.977,7.324,1.404
-0.226,-0.888,-0.462,-0.183,5.920,2.319
-0.237,-0.865,-0.468,0.122,3.418,0.366
-0.235,-0.853,-0.468,-0.854,0.610,-2.136
-0.226,-0.849,-0.453,-4.517,-3.540,-6.958
-0.220,-0.857,-0.436,-6.287,-4.578,-8.484
-0.216,-0.879,-0.427,-8.911,-4.333,-7.812
-0.214,-0.884,-0.433,-8.789,-3.540,-6.042
-0.199,-1.079,-0.249,32.715,21.790,-27.954
-0.206,-1.086,-0.285,28.992,24.536,-18.799
-0.218,-1.087,-0.322,31.006,23.437,-15.747
-0.218,-1.078,-0.310,32.288,17.517,-10.681
-0.205,-1.045,-0.274,30.701,14.465,-7.812
-0.190,-1.022,-0.243,24.780,14.404,-0.671
-0.190,-0.989,-0.237,20.874,17.151,3.906
-0.209,-0.977,-0.270,15.564,20.691,10.498
-0.238,-0.953,-0.319,14.771,19.409,10.559
-0.238,-0.943,-0.323,14.526,12.756,7.019
-0.241,-0.917,-0.330,15.076,9.705,4.639
-0.238,-0.906,-0.324,15.808,7.080,1.831
-0.222,-0.898,-0.279,13.428,3.052,-1.831
-0.219,-0.903,-0.271,9.766,2.686,-2.136
-0.220,-0.925,-0.307,3.479,4.395,-2.075
-0.211,-0.932,-0.325,2.686,4.883,-1.770
-0.203,-0.938,-0.350,4.883,4.944,0.183
-0.210,-0.937,-0.354,6.226,4.272,1.038
-0.215,-0.931,-0.345,4.944,0.366,0.854
-0.202,-0.930,-0.301,1.770,-1.709,0.916
-0.195,-0.936,-0.287,-4.639,-0.671,4.272
-0.210,-0.938,-0.303,-5.188,2.563,6.836
