aX,aY,aZ,gX,gY,gZ
-0.001,-1.034,0.428,43.579,14.771,-38.391
0.032,-1.056,0.442,37.659,9.705,-36.499
0.041,-1.074,0.467,23.804,-1.099,-28.564
0.051,-1.084,0.481,19.531,-3.845,-21.179
0.040,-1.060,0.467,20.203,-0.610,-1.587
-0.036,-0.984,0.462,22.522,3.357,6.775
-0.085,-0.952,0.476,20.935,6.042,12.207
-0.135,-0.921,0.506,16.602,3.967,9.644
-0.132,-0.920,0.511,7.751,1.587,3.296
-0.119,-0.927,0.499,5.249,2.319,1.404
-0.115,-0.934,0.495,2.991,3.174,-2.563
-0.088,-0.950,0.512,2.502,2.625,-5.066
-0.074,-0.960,0.525,0.366,3.601,-7.446
-0.077,-0.976,0.472,-0.916,4.395,-6.775
-0.066,-0.973,0.458,1.892,5.981,-5.371
-0.037,-0.954,0.460,2.991,7.019,-3.174
-0.043,-0.948,0.448,1.404,6.348,1.709
-0.052,-0.932,0.444,0.610,4.395,2.136
-0.049,-0.921,0.457,0.000,2.502,1.465
-0.047,-0.908,0.465,-3.235,1.404,1.709
-0.049,-0.903,0.455,-4.822,2.747,3.540
-0.069,-0.892,0.438,-3.906,5.737,7.263
-0.073,-0.886,0.447,-2.747,6.042,7.812
-0.072,-0.884,0.460,-3.113,4.944,6.470
-0.066,-0.882,0.461,-3.784,4.456,5.310
-0.062,-0.883,0.458,-3.296,4.272,2.930
-0.053,-0.890,0.465,-3.235,4.395,1.953
-0.046,-0.898,0.469,-4.883,3.967,0.610
-0.037,-0.917,0.466,-4.944,3.906,0.732
-0.038,-0.915,0.466,-3.601,5.127,2.808
0.064,-0.635,0.490,177.734,-19.592,-36.682
0.091,-0.706,0.501,176.697,-25.879,-37.231
0.097,-0.775,0.549,177.979,-20.142,-30.151
0.067,-0.775,0.565,174.927,2.014,-16.663
-0.026,-0.740,0.540,166.809,11.414,-15.808
-0.073,-0.726,0.501,138.062,11.169,-27.588
-0.126,-0.740,0.469,122.803,1.831,-37.842
-0.127,-0.757,0.499,101.318,-7.263,-58.960
-0.105,-0.799,0.526,94.299,-3.296,-64.758
-0.093,-0.811,0.517,88.440,8.911,-63.416
-0.075,-0.813,0.478,88.623,16.418,-58.777
-0.060,-0.808,0.439,89.966,29.053,-46.326
-0.020,-0.792,0.338,91.919,31.982,-39.978
-0.007,-0.782,0.327,98.450,33.813,-31.494
-0.034,-0.791,0.369,98.816,34.424,-29.602
-0.069,-0.809,0.389,89.539,29.602,-31.677
-0.097,-0.842,0.441,81.360,23.621,-36.438
-0.077,-0.854,0.461,59.326,11.108,-46.448
-0.059,-0.892,0.416,48.279,6.287,-49.072
-0.062,-0.926,0.382,36.560,-4.028,-53.345
-0.021,-0.990,0.394,35.522,-9.827,-54.504
0.015,-1.007,0.427,34.668,-14.954,-45.349
0.012,-1.036,0.472,33.630,-12.695,-35.095
-0.016,-1.043,0.489,31.799,-5.249,-14.221
-0.052,-1.031,0.542,29.663,-2.502,-6.470
-0.065,-1.026,0.551,22.766,2.136,4.333
-0.091,-1.022,0.506,20.996,4.395,7.568
-0.095,-1.011,0.489,23.743,4.761,9.399
-0.098,-1.004,0.526,25.574,3.540,8.118
-0.097,-1.014,0.564,25.330,2.380,6.042
0.070,-0.537,0.685,106.812,-23.315,-40.283
0.075,-0.576,0.680,117.310,-10.315,-31.616
0.056,-0.623,0.654,124.939,-1.160,-23.682
0.022,-0.626,0.638,139.160,16.602,-15.747
-0.014,-0.637,0.600,143.127,22.339,-16.602
-0.015,-0.641,0.594,139.587,23.560,-20.020
-0.035,-0.636,0.603,133.850,25.085,-24.292
-0.049,-0.642,0.596,125.916,28.259,-30.823
-0.064,-0.681,0.534,105.408,28.198,-44.250
-0.069,-0.711,0.500,97.351,24.841,-49.683
-0.074,-0.743,0.485,91.003,20.142,-59.937
-0.053,-0.823,0.492,89.050,18.982,-64.575
-0.034,-0.864,0.490,82.397,15.869,-67.261
0.006,-0.928,0.493,80.078,15.564,-64.819
0.024,-0.940,0.500,78.491,23.376,-52.246
0.013,-0.926,0.479,77.637,30.029,-44.250
-0.009,-0.914,0.476,70.679,34.180,-34.790
-0.026,-0.915,0.494,62.988,31.067,-35.156
-0.010,-0.933,0.488,42.358,18.921,-39.734
0.033,-0.974,0.470,34.058,13.123,-40.405
0.050,-0.979,0.460,25.330,5.737,-34.241
0.062,-0.957,0.454,23.804,3.601,-28.198
0.053,-0.938,0.447,23.193,2.136,-15.930
0.016,-0.906,0.440,23.437,1.221,-11.108
0.002,-0.893,0.465,23.682,-0.366,-7.751
-0.026,-0.888,0.525,21.667,-2.380,-3.540
-0.041,-0.894,0.529,17.212,-2.197,-0.916
-0.063,-0.907,0.522,17.090,-1.709,-0.427
-0.067,-0.913,0.527,18.066,-1.404,-0.549
-0.050,-0.928,0.543,19.897,-1.038,-2.136
0.212,-0.238,0.987,114.807,-5.249,3.723
0.164,-0.229,0.964,98.267,4.944,11.841
0.074,-0.234,0.814,90.027,2.197,7.446
0.054,-0.244,0.786,85.937,-5.676,-1.038
0.064,-0.306,0.835,87.585,-16.663,-18.494
0.072,-0.347,0.826,88.745,-14.832,-22.156
0.074,-0.377,0.781,93.323,-6.531,-19.531
