aX,aY,aZ,gX,gY,gZ
-0.491,-0.361,0.740,-0.610,4.456,-0.061
-0.489,-0.373,0.749,-2.258,0.671,-0.977
-0.490,-0.379,0.748,-1.648,-0.549,0.244
-0.492,-0.382,0.756,-0.427,-0.549,0.916
-0.494,-0.383,0.763,1.709,1.038,1.770
-0.497,-0.376,0.762,2.136,2.075,1.831
-0.496,-0.372,0.759,2.197,2.686,1.526
-0.494,-0.369,0.755,1.343,2.136,0.427
-0.495,-0.372,0.754,0.916,1.526,0.183
-0.497,-0.375,0.757,1.465,0.671,0.305
-0.492,-0.374,0.766,1.587,0.854,0.488
-0.488,-0.373,0.769,0.366,1.892,0.793
-0.488,-0.376,0.765,-0.305,2.319,0.854
-0.493,-0.381,0.763,-0.488,2.869,1.160
-0.508,-0.382,0.764,0.000,3.113,1.404
-0.509,-0.378,0.767,0.732,3.662,1.770
-0.504,-0.367,0.770,0.732,3.784,1.953
-0.508,-0.366,0.768,0.488,2.991,1.282
-0.510,-0.372,0.772,0.244,1.953,0.427
-0.504,-0.376,0.780,-0.854,0.732,-0.427
-0.498,-0.380,0.788,-0.916,1.160,-0.244
-0.502,-0.380,0.785,0.549,2.441,0.244
-0.505,-0.377,0.785,0.977,2.197,0.061
-0.498,-0.376,0.791,0.732,1.953,-0.488
-0.492,-0.382,0.793,-1.343,1.892,-1.526
-0.496,-0.387,0.791,-2.441,1.831,-1.648
-0.505,-0.392,0.793,-3.113,2.441,-1.709
-0.505,-0.389,0.793,-3.052,3.174,-1.648
-0.497,-0.383,0.794,-3.113,4.639,-1.343
-0.494,-0.381,0.792,-3.418,5.432,-1.221
-0.568,-0.511,0.744,7.751,-26.001,18.799
-0.596,-0.514,0.726,11.536,-21.973,23.437
-0.615,-0.499,0.734,20.386,-14.587,27.954
-0.635,-0.454,0.770,21.729,-12.573,28.564
-0.646,-0.431,0.787,16.663,-11.292,26.367
-0.648,-0.400,0.818,12.939,-9.949,22.583
-0.639,-0.404,0.824,5.554,-5.737,16.052
-0.631,-0.429,0.815,2.930,-3.601,14.648
-0.624,-0.436,0.802,2.014,1.099,13.184
-0.598,-0.431,0.789,3.296,2.808,13.062
-0.590,-0.427,0.792,4.639,4.395,13.306
-0.596,-0.418,0.789,3.723,8.606,14.282
-0.604,-0.411,0.773,1.465,10.681,14.099
-0.605,-0.406,0.752,-1.831,9.766,10.193
-0.580,-0.407,0.737,-2.380,6.775,7.263
-0.565,-0.410,0.739,-2.869,2.014,2.563
-0.541,-0.411,0.743,-2.747,1.038,0.977
-0.529,-0.411,0.752,-1.892,1.648,-0.793
-0.520,-0.412,0.762,-1.221,3.967,-1.038
-0.519,-0.412,0.757,-0.610,8.911,-2.441
-0.492,-0.411,0.741,-1.526,8.728,-4.150
-0.474,-0.417,0.739,-4.150,4.822,-7.507
-0.465,-0.444,0.734,-4.272,3.723,-7.996
-0.462,-0.457,0.738,-1.648,5.493,-6.714
-0.439,-0.462,0.743,-0.549,7.690,-5.432
-0.429,-0.461,0.735,-1.953,9.399,-3.540
-0.429,-0.461,0.716,-3.357,7.690,-3.418
-0.427,-0.459,0.719,-4.761,3.540,-3.784
-0.426,-0.459,0.735,-4.333,2.869,-3.235
-0.430,-0.455,0.739,-0.854,3.174,-0.183
-0.596,-0.350,0.818,10.864,-19.409,14.954
-0.589,-0.345,0.815,7.935,-17.334,12.085
-0.579,-0.330,0.802,7.202,-17.151,10.559
-0.573,-0.323,0.788,5.859,-17.944,6.897
-0.568,-0.328,0.762,5.493,-19.409,4.761
-0.566,-0.339,0.761,7.812,-22.400,2.197
-0.563,-0.357,0.779,10.132,-21.729,2.380
-0.565,-0.364,0.782,12.024,-16.418,4.272
-0.564,-0.371,0.774,11.169,-13.794,5.188
-0.563,-0.373,0.766,7.690,-10.376,5.493
-0.572,-0.379,0.752,5.249,-9.888,5.249
-0.575,-0.383,0.744,1.587,-9.827,4.639
-0.571,-0.389,0.735,1.465,-9.155,4.761
-0.573,-0.392,0.733,4.211,-6.165,6.104
-0.574,-0.395,0.736,5.371,-4.700,6.714
-0.568,-0.392,0.739,6.042,-3.235,6.714
-0.563,-0.385,0.737,5.737,-2.930,6.104
-0.564,-0.385,0.735,4.639,-2.380,5.005
-0.564,-0.391,0.734,4.639,-1.587,5.188
-0.562,-0.394,0.729,5.127,-0.671,5.859
-0.553,-0.399,0.730,6.531,-0.793,6.714
-0.551,-0.405,0.735,6.470,-1.160,6.226
-0.550,-0.410,0.741,4.150,-1.465,5.127
-0.552,-0.423,0.747,2.869,-0.854,4.944
-0.559,-0.427,0.741,1.709,0.122,5.005
-0.564,-0.420,0.735,2.319,-0.305,4.883
-0.555,-0.411,0.746,3.967,-1.343,3.540
-0.531,-0.402,0.780,3.235,-0.610,3.113
-0.529,-0.406,0.783,-0.854,3.906,3.540
-0.548,-0.412,0.745,-1.892,5.737,4.333
-0.354,-0.051,0.761,0.244,-62.805,38.879
-0.390,-0.073,0.721,-1.831,-67.383,32.532
-0.398,-0.119,0.728,-6.409,-81.299,23.315
-0.401,-0.206,0.769,-7.568,-83.252,21.362
-0.407,-0.224,0.780,-8.057,-79.163,21.606
-0.422,-0.214,0.785,-8.484,-77.026,22.095
-0.428,-0.205,0.780,-10.071,-76.965,22.522
-0.455,-0.195,0.777,-9.216,-77.332,23.010
-0.476,-0.180,0.788,-3.235,-72.327,26.001
-0.531,-0.135,0.803,0.671,-66.956,26.733
-0.554,-0.115,0.804,3.784,-58.411,23.926
-0.597,-0.093,0.797,1.526,-56.702,20.996
-0.614,-0.091,0.790,-8.484,-57.495,12.085
-0.622,-0.131,0.789,-14.404,-58.350,7.996
-0.624,-0.169,0.792,-21.240,-54.016,6.409
-0.634,-0.218,0.786,-20.996,-48.950,8.606
-0.647,-0.215,0.778,-13.977,-39.368,13.489
-0.667,-0.169,0.795,-8.911,-35.278,14.587
-0.671,-0.141,0.824,-0.610,-24.902,13.672
-0.669,-0.100,0.848,1.465,-17.334,11.047
-0.689,-0.093,0.840,-6.897,-9.705,7.874
-0.733,-0.114,0.815,-14.038,-9.338,6.226
-0.737,-0.120,0.808,-24.231,-14.343,3.052
-0.717,-0.122,0.807,-26.306,-18.494,2.136
-0.706,-0.117,0.809,-21.606,-22.583,3.174
-0.692,-0.085,0.801,-15.320,-20.752,4.272
-0.680,-0.059,0.808,-3.418,-15.503,6.104
-0.671,-0.027,0.834,-1.038,-13.428,6.836
-0.679,-0.025,0.833,-1.770,-10.864,7.019
-0.700,-0.040,0.818,-1.770,-10.193,6.531
-0.515,-0.196,0.773,6.348,-45.654,44.983
-0.522,-0.185,0.781,5.859,-43.457,42.480
-0.553,-0.190,0.781,4.333,-41.687,42.603
