aX,aY,aZ,gX,gY,gZ
0.771,-0.019,-0.199,-46.814,155.090,20.203
0.793,-0.014,-0.240,-41.382,154.846,20.569
0.798,-0.007,-0.266,-30.701,160.461,22.156
0.778,0.016,-0.345,-27.283,160.339,22.339
0.770,0.032,-0.386,-21.484,148.499,18.250
0.790,0.064,-0.436,-19.043,141.113,15.442
0.801,0.076,-0.451,-14.832,133.484,12.329
0.806,0.102,-0.479,-12.634,132.874,11.353
0.799,0.124,-0.495,-13.977,129.883,8.179
0.781,0.141,-0.550,-18.860,124.023,5.371
0.783,0.130,-0.583,-30.518,104.370,-0.793
0.801,0.082,-0.645,-33.203,95.032,-3.540
0.811,0.059,-0.661,-29.480,82.153,-8.423
0.844,0.035,-0.647,-25.696,77.942,-10.132
0.863,0.029,-0.632,-21.606,75.806,-9.399
0.867,0.014,-0.638,-21.057,77.393,-6.958
0.856,0.005,-0.654,-18.188,78.857,-0.977
0.866,-0.012,-0.710,-13.550,76.965,0.916
0.870,-0.017,-0.736,-2.014,73.425,6.897
0.865,0.005,-0.771,4.150,74.585,12.207
0.853,0.033,-0.770,10.376,76.477,16.663
0.825,0.087,-0.761,13.855,77.942,23.193
0.800,0.096,-0.783,8.362,71.472,27.039
0.755,0.107,-0.827,6.958,65.125,26.184
0.744,0.115,-0.833,6.348,57.922,24.109
0.735,0.129,-0.829,6.104,45.898,19.287
0.722,0.158,-0.805,5.493,41.992,16.174
0.718,0.168,-0.796,-0.793,32.593,9.644
0.708,0.167,-0.808,-5.310,26.672,6.714
0.704,0.161,-0.825,-9.094,15.991,-0.305
0.792,0.209,-0.333,-45.959,92.163,22.949
0.764,0.185,-0.397,-61.462,93.750,19.226
0.758,0.152,-0.461,-63.904,94.666,15.564
0.769,0.126,-0.501,-54.932,89.722,10.925
0.814,0.108,-0.509,-47.302,89.966,11.047
0.825,0.110,-0.510,-37.231,99.915,15.686
0.814,0.107,-0.561,-34.363,104.309,18.860
0.809,0.108,-0.589,-27.283,105.957,25.085
0.806,0.121,-0.615,-23.193,105.774,27.588
0.797,0.128,-0.621,-19.165,106.750,31.677
0.785,0.141,-0.645,-18.616,106.689,32.227
0.771,0.143,-0.666,-19.958,102.478,33.875
0.738,0.161,-0.717,-21.118,99.487,35.767
0.723,0.169,-0.736,-17.273,92.651,34.729
0.711,0.187,-0.762,-15.930,88.013,32.349
0.709,0.196,-0.780,-20.752,75.317,27.222
0.696,0.206,-0.815,-24.048,68.787,24.658
0.688,0.204,-0.829,-26.245,57.678,19.958
0.688,0.200,-0.842,-24.292,53.162,18.372
0.691,0.203,-0.836,-18.494,48.706,16.479
0.688,0.221,-0.819,-17.517,47.791,15.564
0.680,0.226,-0.817,-21.545,44.495,13.794
0.667,0.218,-0.834,-23.437,42.114,13.000
0.662,0.211,-0.844,-23.376,39.734,12.329
0.655,0.204,-0.866,-17.334,36.194,10.376
0.654,0.206,-0.881,-13.489,34.302,9.216
0.650,0.212,-0.897,-9.216,28.076,6.409
0.651,0.214,-0.892,-9.033,23.926,4.456
0.653,0.213,-0.882,-10.498,15.869,0.977
0.651,0.200,-0.871,-10.742,13.123,0.061
0.806,0.059,-0.072,-25.757,135.559,13.550
0.841,0.057,-0.095,-32.593,131.042,14.832
0.850,0.062,-0.117,-42.297,125.610,17.334
0.854,0.055,-0.186,-43.457,125.732,16.052
0.851,0.046,-0.222,-40.039,125.854,14.282
0.842,0.054,-0.284,-37.720,124.146,14.709
0.836,0.074,-0.310,-39.490,114.929,12.756
0.840,0.106,-0.365,-44.067,107.788,9.277
0.849,0.100,-0.403,-49.622,99.243,4.944
0.875,0.069,-0.465,-54.077,79.773,-1.892
0.890,0.062,-0.469,-49.927,72.144,-3.662
0.906,0.066,-0.449,-34.729,68.115,-5.005
0.938,0.102,-0.376,-28.625,71.655,-4.150
0.931,0.116,-0.359,-23.682,84.595,-0.732
