aX,aY,aZ,gX,gY,gZ
-0.585,-0.317,0.826,-45.288,353.455,55.359
-0.427,-0.324,0.828,-67.200,349.792,39.551
-0.339,-0.327,0.857,-111.816,328.735,15.503
-0.214,-0.379,0.893,-119.019,321.167,3.784
-0.146,-0.399,0.895,-107.117,326.904,-8.301
0.028,-0.330,0.949,-97.534,339.050,-7.568
0.090,-0.260,0.971,-89.050,371.582,-7.812
0.206,-0.168,0.894,-91.309,384.766,-14.038
0.292,-0.169,0.816,-102.173,382.996,-22.522
0.428,-0.191,0.677,-105.530,367.920,-17.212
0.478,-0.178,0.633,-94.971,331.421,-0.916
0.589,-0.104,0.574,-83.679,315.796,3.967
0.660,-0.039,0.546,-75.256,288.452,13.000
0.752,0.102,0.469,-79.102,271.667,14.282
0.786,0.159,0.433,-83.679,228.516,0.244
0.829,0.196,0.231,-74.646,201.172,-13.550
0.887,0.169,0.124,-29.785,119.751,-37.598
1.067,0.104,0.126,-9.583,70.129,-37.170
1.100,0.109,0.145,20.813,-27.710,-17.456
1.084,0.102,0.209,39.673,-75.073,-10.986
1.088,0.054,0.281,77.271,-166.077,1.892
0.910,0.011,0.337,96.252,-214.905,10.620
0.722,0.022,0.370,138.123,-331.360,6.836
0.298,-0.004,0.519,152.588,-393.799,-4.883
0.094,-0.057,0.630,158.813,-456.055,-18.616
-0.155,-0.223,0.932,155.884,-562.073,-42.603
-0.195,-0.277,1.094,152.405,-589.355,-48.340
-0.230,-0.282,1.207,135.071,-584.900,-54.382
-0.321,-0.291,1.269,122.437,-568.481,-63.416
-0.338,-0.335,1.279,88.623,-519.043,-77.942
0.208,-0.274,0.697,-47.363,362.732,34.302
0.315,-0.191,0.727,-15.930,330.688,-1.465
0.529,-0.072,0.791,-18.860,317.200,-14.648
0.554,-0.038,0.737,-46.509,278.381,-30.457
0.586,-0.087,0.435,-52.795,245.361,-37.415
0.654,-0.138,0.330,-29.358,138.367,-35.217
0.836,-0.131,0.515,-12.146,82.947,-22.827
0.891,-0.080,0.677,7.812,24.414,3.418
0.889,0.009,0.802,10.071,15.137,7.996
0.861,0.005,0.781,11.230,-5.676,3.601
0.818,-0.059,0.741,16.479,-24.963,3.296
0.803,-0.075,0.782,33.569,-71.106,12.695
0.754,-0.081,0.865,37.720,-91.797,18.616
0.696,-0.079,0.829,37.598,-138.977,25.330
0.509,-0.086,0.705,39.246,-170.532,23.682
0.379,-0.100,0.634,45.532,-208.923,18.555
0.228,-0.119,0.577,65.308,-313.232,1.404
-0.043,-0.210,0.591,70.984,-376.587,-5.859
-0.140,-0.274,0.680,81.848,-495.666,-11.475
-0.324,-0.369,0.893,97.778,-530.396,-15.808
-0.391,-0.365,1.007,129.944,-525.269,-45.532
-0.386,-0.383,1.173,134.094,-495.544,-65.247
-0.354,-0.380,1.231,111.572,-426.086,-76.782
-0.334,-0.336,1.333,92.285,-378.784,-77.026
-0.330,-0.401,1.278,50.415,-253.113,-70.862
-0.451,-0.496,1.103,29.663,-194.946,-47.974
-0.584,-0.469,1.042,17.517,-77.454,10.498
-0.746,-0.349,0.982,23.865,-17.883,35.095
-0.731,-0.252,1.055,3.845,76.843,85.571
-0.667,-0.140,1.165,-29.053,123.474,105.408
-0.385,-0.347,0.948,198.364,-546.082,-46.997
-0.474,-0.340,1.081,184.021,-584.900,-61.890
-0.509,-0.368,1.334,169.617,-576.477,-76.782
-0.451,-0.400,1.474,120.117,-511.536,-79.956
-0.348,-0.399,1.724,93.323,-446.655,-68.298
-0.328,-0.441,1.717,48.828,-249.756,-40.161
-0.477,-0.496,1.389,33.813,-146.851,-13.916
-0.624,-0.464,1.166,29.480,11.108,40.649
-0.806,-0.352,0.772,32.471,59.387,56.519
-0.806,-0.294,0.679,26.306,95.093,64.575
-0.643,-0.229,0.780,14.160,100.342,62.195
-0.528,-0.229,0.879,-30.762,132.935,68.420
-0.464,-0.191,0.917,-55.664,166.748,73.120
-0.496,-0.228,0.838,-86.243,255.737,55.115
-0.402,-0.371,0.728,-99.487,289.246,52.795
-0.309,-0.398,0.783,-142.090,323.914,86.548
-0.237,-0.353,0.961,-163.330,348.755,99.670
-0.240,-0.388,0.918,-178.650,423.462,80.811
-0.159,-0.532,0.609,-173.523,440.796,70.374
-0.056,-0.515,0.541,-159.302,430.969,67.017
0.193,-0.349,0.605,-115.417,371.094,57.312
0.320,-0.251,0.605,-92.896,339.539,45.532
0.511,-0.077,0.515,-54.260,271.301,17.212
0.601,-0.021,0.525,-40.344,234.253,1.831
0.670,0.006,0.541,-23.560,159.424,-19.592
0.731,0.004,0.531,-13.855,117.676,-24.597
0.750,0.012,0.568,7.019,33.447,-26.733
0.757,0.064,0.704,14.587,-0.488,-26.489
0.742,0.075,0.772,21.057,-41.626,-29.663
0.742,0.053,0.909,19.836,-49.988,-29.602
0.853,0.180,0.166,-13.733,107.849,-44.006
1.020,0.118,0.217,-5.127,58.655,-37.842
1.054,0.107,0.221,27.344,-41.687,-20.386
1.042,0.048,0.404,46.997,-87.463,-18.555
1.069,0.026,0.548,48.218,-145.325,8.606
1.008,0.066,0.673,36.987,-169.739,27.649
0.907,0.088,0.657,24.597,-231.079,46.936
0.614,0.091,0.555,31.616,-268.066,44.922
0.440,0.079,0.516,72.876,-355.225,21.057
0.097,-0.013,0.624,99.365,-400.024,1.526
-0.034,-0.096,0.718,138.855,-463.318,-31.616
-0.253,-0.282,0.810,149.048,-492.554,-37.720
-0.354,-0.309,0.920,148.193,-551.575,-38.025
-0.480,-0.315,1.221,144.958,-559.509,-46.326
-0.474,-0.351,1.328,133.911,-509.216,-74.585
-0.383,-0.428,1.465,115.723,-463.867,-77.759
