aX,aY,aZ,gX,gY,gZ
0.876,0.055,0.028,-8.423,65.491,18.127
0.884,0.058,-0.010,0.061,55.115,14.832
0.886,0.072,0.009,16.418,43.396,6.653
0.897,0.112,0.059,17.944,42.969,2.808
0.909,0.120,0.074,2.319,44.922,1.709
0.912,0.130,0.061,-8.911,45.349,3.784
0.899,0.133,0.039,-22.522,43.823,4.639
0.866,0.127,-0.046,-22.583,40.527,2.686
0.856,0.126,-0.070,-14.771,28.198,-2.502
0.854,0.135,-0.046,-10.559,24.231,-6.348
0.866,0.130,-0.027,-9.155,23.071,-10.681
0.896,0.098,-0.033,-20.874,21.240,-12.451
0.902,0.073,-0.056,-29.358,19.287,-8.911
0.887,0.050,-0.120,-33.691,14.221,-2.075
0.888,0.050,-0.127,-28.198,9.827,-2.441
0.912,0.049,-0.090,-12.146,5.676,-7.996
0.918,0.049,-0.080,-5.615,8.545,-10.254
0.922,0.052,-0.073,-0.854,13.489,-10.376
0.926,0.053,-0.062,-2.563,13.245,-8.179
0.925,0.059,-0.065,-8.545,12.207,-1.709
0.919,0.087,-0.092,-12.085,9.338,1.160
0.924,0.097,-0.091,-21.240,-1.160,6.042
0.931,0.113,-0.068,-25.024,-5.737,8.911
0.929,0.124,-0.054,-27.100,-8.911,11.963
0.918,0.137,-0.051,-23.743,-6.287,10.132
0.915,0.134,-0.064,-8.179,4.578,1.099
0.917,0.137,-0.078,-2.441,7.690,-2.502
0.919,0.136,-0.076,-4.333,4.944,-4.089
0.926,0.134,-0.073,-8.179,1.770,-2.563
0.924,0.137,-0.071,-11.780,-2.502,-0.305
0.872,-0.019,0.285,-21.912,62.561,52.185
0.846,0.014,0.240,-26.062,64.392,51.147
0.835,0.040,0.185,-28.259,61.279,45.410
0.834,0.047,0.179,-28.442,56.641,41.992
0.849,0.053,0.200,-27.283,51.147,33.752
0.858,0.057,0.213,-22.400,56.396,28.137
0.863,0.059,0.211,-8.667,81.665,13.428
0.880,0.036,0.122,-5.249,91.248,7.568
0.899,0.025,0.079,-6.287,83.984,7.324
0.942,0.020,0.100,-8.545,75.500,10.864
0.949,0.021,0.111,-13.916,72.266,15.381
0.953,0.015,0.066,-15.381,74.951,15.808
0.958,0.019,0.035,-13.123,75.989,15.625
0.974,0.030,-0.009,-11.414,74.402,15.686
0.971,0.029,-0.041,-11.475,64.819,18.921
0.954,0.027,-0.090,-12.207,56.091,21.790
0.939,0.032,-0.110,-12.817,39.307,26.733
0.903,0.055,-0.132,-13.489,31.006,28.564
0.896,0.068,-0.105,-14.771,23.376,29.480
0.883,0.072,-0.104,-19.836,17.639,27.771
